BONTOK WORD,PART OF SPEECH,DEFINITION,PRONUNCIATION,ROOT,AFFIX ,MORPHOLOGICAL PHENOMENA,EXAMPLE SENTENCE,SENTENCE TRANSLATION,VARIATIONS,PLURAL FORM,NOTES,
sagilip,Verb,"To be just above, resisting on, of the sun just before it disappears behind teh mountains, also of a bird or a low flying plane.",/sa.gi.lip/,sagilip,N/A,N/A,Aglos maisasagilip nan deeyda keleng sinan abongmi.,Those keleng birds are skimming over the top of the house.,N/A,N/A,Future tense,sagilip
sagno,Verb,"To prepare dry land for sowing seed, by breaking the hard lumps with a piexe of wood; to sow seed after such preparation.",/sag.no/,sagno,N/A,N/A,Engka isagno nan naay sabog.,Go and sow this millet.,N/A,N/A,Future tense,sagno
sak-ang,Verb,To carry a child on the hip.,/sak.ang/,sak-ang,N/A,N/A,Isasak-angko nann anakko.,I am carrying my child on my hip.,N/A,N/A,Future tense,sak-ang
sak-en,Pronoun,"I; me. First person singular pronoun. This pronoun is not marked for case. It is used as the Nominative pronoun in transitive sentences, as well as sentence initial Topic and Predicate pronoun. It can also appear following a personal oblique preposition.",/sak.en/,sak-en,N/A,N/A,Inigwa da ken sak-en nan feneng.,They gave me the knife.,N/A,N/A,First Person Singular,sak-en
saka,Verb,To ransom; redeem a pledge; to get out of pawn.,/sa.ka/,saka,N/A,N/A,Sakaek nan sangsangko.,I'll pay the mortage with my gold earings.,N/A,N/A,Future tense,saka
sakaw,Verb,To hinder,/sa.kaw/,sakaw,N/A,N/A,Awni esaak inbayo tay ig somakaw nan manok,"I will pound rice later, because the chickens are hindering me now.",N/A,N/A,Future tense,sakaw
sakba,Verb,To place on top,/sak.ba/,sakba,N/A,N/A,Adim isasakba nann ewesmo an sak-en,Don't put your blanket on me.,N/A,N/A,Future tense,sakba
sakew,Verb,A person who has become thin through sickness; poor.,/sa.kew/,sakew,N/A,N/A,"Sinos ig oskilaan, aditat oggay sina ta omilatas asawas ib-a ay nasasakew.","What is the use of all the schooling, stay here and find a poor person liek yourself to marry.",N/A,N/A,Future tense,sakew
sakfat,Verb,To carry on the shoulder,/sak.fat/,sakfat,N/A,N/A,Sinakfat na nan karga nan ay fato.,Hecarried the load of stones on his shoulder.,sakbat,N/A,Present Tense,sakfat
sakhang,Preposition,Before; In front,/sa.khang/,sakhang,N/A,N/A,Nan uma ya wadai isnan sakang nan afong.,The garden is in front of the house.,N/A,N/A,Preposition of Place,sakhang
Sakhangem,Verb,To face or turn towards someone ,/sa.khang.ngem/,sagang,-em,Suffixation,Alam nan sasa sasakhangem.,Take what's in front of you.,N/A,N/A,Present Tense,sakhangem
sakhangen,Verb,To face or turn towards someone (Nom).,/sa.khá.ŋən/,sakang,-en,Suffixation,Sakhángen ta nan wanga.,Let's face the river.,N/A,N/A,Present Tense,sakhangen
sakhongek,Verb,To face or confront someone (first person POV),/sa.khong.ek/,sango,-ek,Suffixation,Ta sakhongek chaicha.,I will confront him.,N/A,N/A,Present Tense,sakhongek
sakli,Verb,To carry a baby with its head in the croook of one's arm,/sak.li/,sakli,N/A,N/A,Bomlay nan sakli,Cradling a child in one's arms is tiring ,N/A,N/A,Future tense,sakli
saklob,Verb,"To sit together or stand together, as a child sits between her father's knees, or stands in front of her father facing in the same direction.",/sak.lob/,saklob,N/A,N/A,Sasakloben Ongyod nann anakna.,Ongyod is sitiing with his child between his knees.,N/A,N/A,Future tense,saklob
sakloy,Verb,"To hold in the lap; to sit on someone's knee; to carry against the front of the body, as a child in a carrying blanket.",/sak.loy/,sakloy,N/A,N/A,Sakloyem nann inga tay naolaw.,"Take the child on your lap, because he is dizzy.",N/A,N/A,Future tense,sakloy
sakol-ang,Verb,"To carry a child on one's shoulders, with or without its legs straddling one's neck.",/sa.kol.ang/,sakol-ang,N/A,N/A,Somakol-angka tay adiyak makagdang.,Carry me on your shoulders beacuse I cannot wade the stream.,N/A,N/A,Future tense,sakol-ang
sakpipi,Verb,"To have one's head on an angle, as a person with a stiff neck or a boil on his neck.",/sak.pi.pi/,sakpipi,N/A,N/A,Ay ne kan nann igmo isasakpipi?,What is it that is making you keep your head on an angle?,N/A,N/A,Future tense,sakpipi
salibod,Verb,"To join two pieces of material, string or rope; to knot; to tie",/sa.li.bod/,salibod,N/A,N/A,Isalibodmo nan alongaynas nann alongay tod-i.,Tie the tail of her waist band to the trail of the waist band of that one.,N/A,N/A,Future tense,salibod
salidommay,Noun,Songs sung at the chono feast.,/sa.li.dom.may/,salidommay,N/A,N/A,Mangsalidommay da isnan chono.,They are singing ceremonial songs at the feast.,N/A,N/A,Plural,salidommay
salob,Verb,"To come to financial agreement, as in order to pay off a debt; to compensate",/sa.lob/,salob,N/A,N/A,Salobenta nan inalak ay agas sinan akon nan aggong,"Let's pay off the medicine that I got, with the payment for the snails.",N/A,N/A,Future tense,salob
samal,Verb,To still pondfields,/sa.mal/,samal,N/A,N/A,"Esayo i samalen ad Wail, ta sa i matondan.",Go and till the pondfields at Wail so that they can be planted.,N/A,N/A,Future tense,samal
Samoki,Noun,A barangay in Bontoc,/Sa.mo.ki/,Samoki,N/A,N/A,Inmey kami ad Samoki.,We went to Samoki.,N/A,N/A,Proper Noun of Place,samoki
san,Article,"The, specifying something within the shared experience of both the speaker and the hearer.",/san/,san,N/A,N/A,San wi-it.,"This morning (i.e., the one we have just passed through).",N/A,N/A,,san
sana,Noun,"That one, close, to hearer; there, close to hearer.",/sa.na/,sana,N/A,N/A,Iwasitmo nan sana,Throw that one out.,N/A,N/A,"Concrete, Common, Countable",sana
sanga,Verb,To be lazy,/sa.nga/,sanga,N/A,N/A,Permi ka wen ay na sanga?,Is your laziness really that bad?,N/A,N/A,Present Tense,sanga
sangadil,Noun,A ladder-like fixture where the dead is seated during the wake.,/sa.nga.dil/,sangadil,N/A,N/A,Nan bangkay ay inpakdaar isnan sangadil.,The corpse was placed on the funeral stand.,N/A,N/A,Singular,sangadil
sangasang,Verb,"To push back, as by thrusting a burning stick at someone.",/sa.nga.sang/,sangasang,N/A,N/A,Insangasangam nan sana aso tay ig adi matilig.,"Thrust something at that dog, since it will not go away.",N/A,N/A,Future tense,sangasang
sangasangadom,Noun,Long ago,/sang.sang.a.tsum/,sangad,N/A,Reduplication,Ad sangasangad-om khawis nan wanga.,"Long ago, the river is clean.",N/A,N/A,Adverb of Time,sangasangadom
sangfo,Noun,A type of mangmang performed to heal the sick.,/sang.fo/,sangfo,N/A,N/A,Insangfo cha si maschim.,They will perform Sangfo at night.,sangbo,N/A,Singular,sangfo
sangi,Noun,"A man's most important basket, worn like a knapsack.",/sa.ngi/,sangi,N/A,N/A,In-ippoi-yu ngen nan sangi is- chi?,Did you put the baskets there?,N/A,N/A,Singular,sangi
sanglag,Verb,"To roast in a pan, as coffee or peanuts.",/sang.lag/,sanglag,N/A,N/A,Isanglagmo nann manis nan tongnga,Roast the peanuts with the corn.,N/A,N/A,Future tense,sanglag
sangwek,Verb,"To face or stand before; To entertain; To oppose, as in a game or in court; To state directly, face to face",/sang.wek/,sango,N/A,N/A,Sangwek sika is awni.,I will entertain you later.,N/A,N/A,Future Tense,sangwek
sangwen,Verb,"To face or stand before; to entertain; to oppose, as in a game or in court; to state directly, face to face. ",/sang.wen/,sango,-wen,Suffixation,Ngag-utom ta sangwen ama chaicha.,Don't meddle with them; let father be the one to face them.,N/A,N/A,Present Tense,sangwen
saplit,Verb,"To strike someone with a thin stick or other flexible object, usually for chastising; the object so used.",/sap.lit/,saplit,N/A,N/A,Isaplitmo nann naay sintalon.,Hit him wiith this belt.,N/A,N/A,Future tense,saplit
sapodot,Verb,"To pick up between the thumb and the ends of the fingers, as when eating without utensils.",/sa.po.dot/,sapodot,N/A,N/A,Omalakas sinsapodot si asin,Get enough salt to pick up between your thumb and fingers.,N/A,N/A,Future tense,sapodot
sapong,Noun,"Dog fangs, part of the appong.",/sa.pong/,sapong,N/A,N/A,In-appong na nan sapong.,She wore the dog fangs in her hair.,N/A,N/A,Plural,sapong
sapsap-ok,Noun,Pipes in a row; a musical instrument for the young.,/sap.sap.ok/,sapsap-ok,N/A,N/A,Nan sapsap-ok nan para si ub-ubbing.,Nan sapsap-ok nan para si ub-ubbing.,N/A,N/A,Singular,sapsap-ok
sasaar,Noun,The nearest point of entry into the village.,/sa.sa.ar/,sasaar,N/A,N/A,Ad sasaar nan inmayak.,I entered the village at the nearest point.,N/A,N/A,Singular,sasaar
sasampay,Verb,To encourage someoneto continue their story by asking what happened next,/sa.sam.pay/,sampay,sa-,Prefixation,Sasampayam ad gaobab.,Ask him what happened next so that he will tell us what they did last night.,N/A,N/A,Future tense,sasampay
saw-an,Verb,To deliberately block someone's way; to stand in the way; to give a bad omen.,/saw.an/,saw-an,N/A,N/A,Adikami omey tay wad-ay sinmaw-an.,We are not going because there was bad omen.,N/A,N/A,Future tense,saw-an
say-ong,Verb,"To involve, of a sickness which affters more than one part of teh body.",/say.ong/,say-ong,N/A,N/A,In-olool nan olok tay say-ongen nan bab-ak.,My head is aching beacuse of tooth ache.,N/A,N/A,Future tense,say-ong
saydek,Verb,"To run away, of water from an open tap or from a water trough which has been knocked out of place.",/say.dek/,saydek,N/A,N/A,"Entako in-emes as Todey, tay eped insaysaydek nan danom.","Let's take a bath at Todey, beacuse the water is just running away there.",N/A,N/A,Future tense,saydek
sedel,Adjective,"Thick, as a blanket.",/se.del/,sedel,N/A,N/A,Ig sedel nan ewesmo,Your blanket is very thick,N/A,N/A,Postive,sedel
seg-ang,Noun,Pity; sympathy; mercy.,/seg.ang/,seg-ang,N/A,N/A,Waday ngen seg-ang mo?,Do you have empathy?,N/A,N/A,"Common Noun
Abstract Noun
Countable Noun",seg-ang
segfi,Noun,"A cone-shaped, beeswax-waterproofed rain hat for men.",/seg.fi/,segfi,N/A,N/A,In-sakwat nan lallaki nan segfi na.,The man put on his rain hat.,N/A,N/A,Singular,segfi
selbi,Noun,Use; value; service.,/sel.bi/,selbi,N/A,N/A,Ay ne kan nan selbin nan inmayan sid-i?,What was the use of your going there?,N/A,N/A,"Abstract Noun, Common Noun",selbi
semek,Verb,To think ; to remember; thought; mind; the seat of the emotions . ,/se.mek/,semek,N/A,N/A,"Insakit nan semekna tay linitawna nan
sipingna ay sinlibo.",He is upset because he lost a thousand pesos . ,N/A,N/A,Present Tense,semek
semekko,Noun,My mind; My thoughts,/se.mek.ko/,"semek, ko",,Incorporation,Ikabyas nan semekko.,Clear out my mind.,N/A,N/A,"Common Noun
Abstract Noun                                 Uncountable Noun
Singular Noun",semekko
semekna,Verb,To think; to remember; thought; mind; the seat of the emotions,/se.mek.na/,semek + na,N/A,Derivation,Ensakit nan semekna tay linitawna nan sipingna ay sinlibo.,He is upset because he lost a thousand pesos.,N/A,N/A,Present Tense,semekna
semken,Verb,To remember something; To think,/sem.ken/,semek,-en,Suffixation,Nan maangnen adwani ya semken kasanu tako ay makasaa.,What we will do today is to think how are we going to go home.,N/A,N/A,Present Tense,semken
semsemken,Verb,Remembering something; Thinking,/sem.sem.ken/,semek,-en,"Suffixation, Reduplication",Hesu Kristo nu semsemken mi.,Jesus Christ when we look back.,N/A,N/A,Present Tense,semsemken
seng-ab,Noun,The breath of an animal,/seng.ab/,seng-ab,N/A,N/A,"Natey nan palda, tay sineng-aban si nowang.","The beans have died, because a water buffalo breathed on them.",N/A,N/A,"Concrete Noun, Common Noun",seng-ab
seng-ak,Noun,Breath; halitosis,/seng.ak/,seng-ak,N/A,N/A,Iseng-akmo nann ininommo ay bayas,Your breath smells of the wine that you drank.,N/A,N/A,"Concrete Noun, Common Noun",seng-ak
seng-ew,Noun,Aroma,/seng.ew/,seng-ew,N/A,N/A,Nafanglo nan seng-ew nan kapi.,The aroma of the coffee is fragrant.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",seng-ew
seng-ew,Noun,An offering.,/seng.ew/,seng-ew,N/A,N/A,Inpachawat da nan seng-ew ay menkabunyan.,They gave the offering to Kabunyan (the deity).,N/A,N/A,Singular,seng-ew
senseng,Noun,Gold handcrafted earrings.,/sen.seng/,senseng,N/A,N/A,In-appong na nan senseng.,She wore the gold earrings.,N/A,N/A,Plural,senseng
sepet,Verb,To squeeze the juice completely from sugarcane,/se.pet/,sepet,N/A,N/A,Kasiyo ipaey sinan balliwes ta maseptan ay gawis.,Put the cane through the mill agian so it will be properly squeezed out.,N/A,N/A,Future tense,sepet
sepyat,Verb,"To spill, as water from a jar.",/sep.yat/,sepyat,N/A,N/A,Sepyatam didas danom ta komaanda.,Spill water on them so they will leave.,N/A,N/A,Future tense,sepyat
sesemken,Verb,To remember something; To think,/se.sem.ken/,semek,"se-, -en","Reduplication, Suffixation",Ngag nan semsemken anuchim?,What is your younger sibling thinking?,N/A,N/A,Future Tense,sesemken
si,Article,Marker of a singular personal noun phrase when subject,/si/,N/A,N/A,N/A,Inilak si Odchali.,I saw Odchali.,N/A,N/A,N/A,si
sib-fan,Verb,"To eat something (Nom) with one's rice, such as meat or fish.",/sib.fan/,sibfan,N/A,N/A,Sib-fan ta nan filis.,Let's eat anchovies as our viand.,sibban,N/A,Present Tense,sib-fan
sid-i,Adverb,"There; Combined form of ""si chi""",/síd.i/,"si, chi",N/A,Compounding,Ay wad-ay da Juan sid-i?,Are Juan and his companions there?,N/A,N/A,Adverb of Place,sid-i
sida,Verb,"To eat someting with one's rice, as meat or salt.",/si.da/,sida,N/A,N/A,Sidaam nan bilis tay ig asin.,Eat rice with the dried fish because it is very salty.,N/A,N/A,Future tense,sida
sigab,Adjective,"Difficult, hard.",/si.gab/,sigab,N/A,N/A,Ig sigab nan tikidan ad Pagtolaw.,The climb to Pagtolaw is very difficult.,N/A,N/A,Postive,sigab
sik-a ,Pronoun,"You (singular). Second person singular pronoun. This pronoun is not marked for case. It is used as the Nominative pronoun in transitive sentences, as well as sentence initial Topic and Predicate pronoun. It can also appear following a personal oblique preposition.",/sik.a/,sik-a,,,Sik-a nan inkali is awnin.,You are going to talk later.,N/A,N/A,Second Person Singular,sik-a
siken,Verb,"To develop; to mature; to grow up, as plants, animals or children.",/si.ken/,siken,N/A,N/A,"Olay mo dakdakel nann badona, as masiksiknana.","Even though the dress is big, she will grow into it.",N/A,N/A,Future tense,siken
sikhab,Noun,Difficulty.,/si.khab/,sikhab,N/A,N/A,In sikhab nan tikíchan ad Pagtoraw.,The climb to Pagtólaw is very difficult.,N/A,N/A,"Common Noun
Abstract Noun
Countable Noun",sikhab
sikhod,Conjunction,In the past; Used to; Formerly,/sik.od/,sikhod,N/A,N/A,Sikhod ay chakami nan inkakadwa.,"In the past, we used to be together.",N/A,N/A,Subordinating Conjunction,sikhod
sikig,Noun,The end dimension of a house.,/si.kig/,sikig,N/A,N/A,Ne nan kadakel nan sikigna?,What is the size of the end of the house?,N/A,N/A,Future tense,sikig
siknan,Verb,"To grow into something (Nom), as a child grow into a dress that is too big for her.",/sik.nán/,siknan,N/A,N/A,Nan ung-unga ay siknán nan fáchona.,The child will grow into her dress,N/A,N/A,Present Tense,siknan
silap,Verb,To affect all in a group,/si.lap/,silap,N/A,N/A,"Ay anay kay tay apedkayo omisilap, adiyak met naitapi?","Why do you involve me, I was not included?",N/A,N/A,Future tense,silap
sileng,Adjective,"To reflect; to shine, as a well polished floor.",/si.leng/,sileng,N/A,N/A,Ig sileng nann tablayo,Your floor is really shiny,N/A,N/A,Postive,sileng
sili,Verb,"To dazzle, as the sun",/si.li/,sili,N/A,N/A,Omeyak si abong tay somili nan algew,I'm going inside beacuse the sun is dazzling me.,N/A,N/A,Future tense,sili
sillay-ot,Verb,To hang from something for an extended period; to tie up,/sil.lay.ot/,sillay-ot,N/A,N/A,"Nan nakna ay inyolan, ig insisillay-ot.",The bird that was caught is just hanging there.,N/A,N/A,Future tense,sillay-ot
silok,Verb,To repair a metak conatiner with a lead patch.,/si.lok/,silok,N/A,N/A,Into kay san iTetep-an ta pasilokko nan bangami ay nabakas?,Where is the person from Tetep-an so I can get my broken pot repaired?,N/A,N/A,Future tense,silok
simpu-o,Adjective,Ten,/sim.pu.o/,simppuo,N/A,N/A,Waday simpu-o ay inmey.,Ten people went there.,N/A,N/A,Numerical,simpu-o
simsimken,Verb,To be thinking about; to be considering.,/pan.pa.nu.nu.ten/,panonot,"pan-, -en",Circumfixation,Panpanunuten na nan problema.,He is thinking about the problem.,N/A,N/A,,simsimken
sin+,Prefix,"A derivative prefix indicating one unit of measures, or one set of kin relations. ",/sin/,N/A,N/A,N/A,Sin-ina,Mother and child,N/A,N/A,,sin+
sin-abeldang,Verb,"To co-own a water buffalo or animal with another, esp. across villages; the relationship itsel.",/sin.a.bel.dang/,abeldang,sin-,Prefixation,Sin-abeldang da Pangdal an Pakolan.,Pangdal and Pakolan are co-owners of a water buffalo.,N/A,N/A,,sin-abeldang
sin-abiikkami,Noun,The relationship between people bearing the same name.,/sin.a.bí.ík.ka.mi/,abiik + kami,sin-,"Prefixation, Derivation",Sin-abiikkami an Wakwak.,Wakwak and I have the same name.,N/A,N/A,,sin-abiikkami
sin-abilat,Noun,The relationship beween spouses of siblings.,/sin.a.bi.lat/,abilat,sin-,Prefixation,Sin abilat da Yolanda an Susan.,The husbands of Yolanda and Susan are brothers.,N/A,N/A,,sin-abilat
sina,Adverb,"Here; Opposite of sisa, there",/si.na/,sina,N/A,N/A,Iyalim sa sina.,Bring that here.,N/A,N/A,Adverb of Place/Location,sina
sinangad-om,Adverb,"The not too distant past or future, from several days to a year or more",/si.na.ngad.om/,sang-adom,-in-,Infixation,Sinangad-om nan khina-ib na ay afong.,"Some time ago, his house was built.",N/A,N/A,Adverb of Time,sinangad-om
sinaplit,Verb,To be beaten; to be struck,/si.nap.lit/,saplit,-in-,Infixation,Sinaplit inak sak-en.,My mother beat mi with a broomstick.,N/A,N/A,Present Tense,sinaplit
singil,Verb,To collect a debt,/si.ngil/,singil,N/A,N/A,Eyak singilen nan otangko an da tod-i,I will go and collect my dept from them.,N/A,N/A,Future tense,singil
sinma-a,Verb,To go home; to return to one’s residence or place of origin.,/sin.ma.ma/,saal,N/A,N/A,Sinma-a sya id afong ad ogkha.,He/She went home yesterday.,sinmaal; sinmaar,N/A,"Past Tense, Third Person POV",sinma-a
sino,Pronoun,Who; What,/si.no/,sino,N/A,N/A,Sino nan nangkaan isnan fato?,Who took away the stone? ,N/A,N/A,Interrogative Pronoun,sino
sinongyup,Noun,A notched mouth flute played when a person has died violently.,/si.nong.yup/,sinongyup,N/A,N/A,Mangngalangala da nan sinongyup inton wad-ay pinatey.,They play the notched mouth flute when someone has died violently.,N/A,N/A,Singular,sinongyup
sinpangapo,Noun,all descendants of a specific founder of a land (Bontok Igorot),/sin.pa.nga.po/,pangapo,sin-,Prefixation,Nan sinpangapo ay aywanan da si payew.,The descendants take care of the rice fields.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",sinpangapo
sinpangili,Noun,The social unit comprising all of the inhabitants of a village.,/sin.pa.ngi.li/,pangili,sin-,Prefixation,Aywanen nan sinpangili nan tayan.,The village community takes care of the forestland.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",sinpangili
siping,Noun,Money,/si.ping/,siping,N/A,N/A,Omegwakas esang ay gasot ay siping.,Give me one hundred pesos.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",siping
sisa,Adverb,"There, near by, where I indicate",/si.sa/,isa,s-,Prefixation,Ngag da yo angnen sisa?,What are you doing there?,N/A,N/A,Adverb of Place,sisa
siseng,Verb,"To recover, of one's ears after having a deafening noise.",/si.seng/,siseng,N/A,N/A,Genekyo anono ta amisiseng nan koleng.,Be quiet at last to give my ears a chance to recover,N/A,N/A,Future tense,siseng
siw-at,Noun,A short solo chant that formally opens the performance of the ayyeng.,/siw.at/,siw-at,N/A,N/A,Inmali nan lakay ta insiw-at isnan ayyeng.,The elder began the performance with a short chant.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",siw-at
siyang,Noun,The same; likewise.,/si.yang/,siyang,N/A,N/A,Siyangna ay adi gawis.,It is likewise no good.,N/A,N/A,"Uncountable, Abstract",siyang
sobed,Verb,To be delayed.,/so.bed/,sobed,N/A,N/A,Adimi linpas tay sinmobed nan deey bato,We didn't finish because we were delayed by that rock.,N/A,N/A,Future tense,sobed
sodkal,Verb,To prod; to poke.,/sod.kal/,sodkal,N/A,N/A,Sodkalentako nan otot sinan tekaw.,Poke the rat in the hole.,N/A,N/A,Future tense,sodkal
sog-ok,Verb,"To cause someone to cough, as dust or smoke",/sog.ok/,sog-ok,N/A,N/A,"Adikas sa omey, tay omisog-ok nan dapol","Don't go there, because the dust will make you cough.",N/A,N/A,Future tense,sog-ok
sogbo,Verb,To instruct someone to do something.,/sog.bo/,sogbo,N/A,N/A,Aw-ay wad-ay nanogbo an siya tay kasi ages inmali ay mangibagas nan otangna.,Probably someone has been talking to him because he has come again to ask for payment of the debt,N/A,N/A,Future tense,sogbo
sokat,Verb,To exchange for something; something given in exchange,/so.kat/,sokat,N/A,N/A,Siya na nan sokat nan otangko,Here is the exchange (or payment) for my debt.,N/A,N/A,Future tense,sokat
solat,Verb,"To block, as a hole; to put something into a container.",/so.lat/,solat,N/A,N/A,Omalakas sinbetek ay angel ta isolatmos nan sokopmo,Get a bundle of sweet potato vines so you will have something in your basket.,N/A,N/A,Future tense,solat
solong,Verb,"To do something regardless of the consequences; to invade; to brave, as a storm.",/so.long/,solong,N/A,N/A,Nan sapol solngen kayet nan tilin,Rice birds go there despite the scarecrows,N/A,N/A,Future tense,solong
soloten,Verb,To follow; to believe; to obey; to copy,/so.lot.en/,solot,-en,Suffixation,Inka soloten nan anak mo.,Go and follow your child.,N/A,N/A,Present Tense,soloten
somang,Noun,Adversary,/so.mang/,somang,N/A,N/A,Somengem si tod-i tay omegyatak.,"You face him, because I'm afraid.",N/A,N/A,"Countable, Concrete, Common",somang
somasalak,Verb,To protect; to defend; to succor; to retrieve,/so.ma.sa.lak/,salak,soma-,Prefixation,Somasalak nan ina na.,The mother protects him.,N/A,N/A,Present Tense,somasalak
somya,Verb,To become well; to get better; to return to normal.,/som.yá/,somya,N/A,N/A,Inomencha sa somya.,They drink it and all is well.,N/A,N/A,Past Tense,somya
soneb,Verb,"To move back a little; to move back and forth, form one place to another; to look behind one.",/so.neb/,soneb,N/A,N/A,Adi gawis nan insonsoned ay nowang si isamal.,It is not good to plough with a water buffalo that keeps looking back,N/A,N/A,Future tense,soneb
soney,Verb,"To be delayed, as by a child who is slow",/so.ney/,soney,N/A,N/A,Adika makaey tay as somoneyka,"Don't accompany us, you will only delay us.",N/A,N/A,Future tense,soney
sonon,Verb,"To move something forward in front of one, as something hindering one's forward progress; to force out; to make someone give way",/so.non/,sonon,N/A,N/A,Inmalida ya aped masnon ay komaan,They came and so he jsut left.,N/A,N/A,Future tense,sonon
sontok,Verb,To fight; to hit with the firsts; to box,/son.tok/,sontok,N/A,N/A,Pangaasim ta adika somontok,Please don't hit me,N/A,N/A,Future tense,sontok
sop-ok,Verb,"To blow on something, as to blow out fire; to divine the cause of sickness by blowing on the afflicted person.",/sop.ok/,sop-ok,N/A,N/A,Adim ig isopsop-ok nan gasok nan sagililyom,Don't keep blowing your cigarette smoke on me,N/A,N/A,Future tense,sop-ok
sorwe-ey,Noun,A performance while pounding rice as part of wedding feast preparations.,/sor.we.ey/,sorwe-ey,N/A,N/A,In-awit da nan sorwe-ey isnan chono.,They sang the chant at the feast.,N/A,N/A,Singular,sorwe-ey
sowak,Verb,To divide of the men of a ward into groups for working in the obbo system; such a group,/so.wak/,sowak,N/A,N/A,Sowakmi di,They are the group with which I work.,N/A,N/A,Future tense,sowak
sudsud,Noun,Head axe or spear; symbol of the formal breaking of a peace pact and challenge to battle or warfare in the Bontok Igorot villages,/sud.sud/,sudsud,N/A,N/A,Inay-ayan da nan sudsud sin petchen.,They displayed the head axe during the peace pact.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",sudsud
sukar,Noun/Verb,"sugar (noun); can also extend to “sweeten” (verb, when used in certain contexts).",/su.car/,sukar,N/A,N/A,Enlako da nan sukar isnan ili ay ka-ey.,They sold sugar in the neighboring village.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",sukar
sukat,Noun,An exchange of items,/su.kat/ ,sukat,N/A,N/A,In-sukat da nan bag da.,They exchanged their bags.,N/A,N/A,Singular,sukat
suklang,Noun,A small cap of basketwork worn by men.,/suk.lang/,suklang,N/A,N/A,Nitayaw nan suklang ko.,My hat flew off.,N/A,N/A,Singular,suklang
suklung,Noun,Cap,/suk.lung/,suklung,N/A,N/A,Alam ngen nan suklung mo?,Are you going to bring your hat?,N/A,N/A,Singular,suklung
suloten,Verb,To follow a trail; to believe; to obey; to copy; to follow with,/su.lo.ten/,solot,-en,Suffixation,Solotem nan kanan inam.,Follow the words of your mother.,N/A,N/A,Present Tense,suloten
sulwen,Verb,"To learn, read",/sul.wen/,solo,-en,Suffixation,Sulwen ay enkalalag.,Learn to pray.,N/A,N/A,Future Tense,sulwen
sumango,Verb,To come forward,/su.ma.ŋo/,sango,-um-,Infixation,Sumango ak basta issa ka kalikod ko.,"I'll be in front, you stay behind.",N/A,N/A,Present Tense,sumango
sumeg-ang,Verb,To have sympathy,/su.meg.ang/,seg-ang,-um-,Infixation,Sumeg-ang ka man.,Have mercy.,N/A,N/A,Future Tense,sumeg-ang
sumya,Interjection,"Expression of envy or wishful thinking; ""I wish"".",/sum.ya/,sumya,N/A,N/A,"Sumya, umaliak met.",I wish I could come too.,N/A,N/A,,sumya
sungfat,Verb,"To answer, as when one is called",/sung.fat/,songfat,N/A,N/A,Sungfatam nan tawag ko.,Answer my call.,sungbat,N/A,Present Tense,sungfat
suwaay,Noun,Singing while pounding rice.,/su.wa.ay/,suwaay,N/A,N/A,Mansuwaay nan fafayi inton mangpispis.,The women sing while pounding rice.,N/A,N/A,Singular,suwaay
séyep,Verb,Sleep,/se.yep/,seyep,N/A,N/A,Kaat ay olas nan seyep mo?,How many hours did you sleep?,N/A,N/A,Common Singular Noun,séyep
takchag,Adjective,Tall,/tak.tsag/,takchag,N/A,N/A,Atatakchag-ka.,You are tall.,takdag,N/A,"Descriptive Adjective
Positive Degree",takchag
takfa,Noun,A woven rattan sling bag.,/tak.fa/,takfa,N/A,N/A,Na-lipatan nan takfa nan chalan.,The takfa was forgotten on the path.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",takfa
"
takho",Noun,Person,/ta.kho/,takho,N/A,N/A,Angsan nan takho ad Multipurpose Hall.,There are many people at Multipurpose Hall.,tago,katago-tago,"Common Noun
Concrete Noun
Countable Noun",takho
Takik,Noun," A flirtation, love, or courtship dance performed by couples.",,Takik,N/A,N/A,Nalikat ay surwen nan Takik.,It is hard to learn the Takik dance.,N/A,N/A,Singular,takik
taking,Noun,"A gourd or coconut shell with woven case, in which wine is placed for ceremonial use.",/ta.king/,taking,N/A,N/A,Waday taking ay in-atod da nan manakis.,"They gave the groom a ""taking"".",N/A,N/A,"Concrete Noun, Common Noun",taking
tako's,Pronoun,First and second person non-minimal pronoun; our; we.,/ta.kos/,tako,-s,Suffixation,Intako's chi.,Let's go there.,N/A,N/A,First Person Plural,tako's
taku,Pronoun,We,/ta.ku/,taku,N/A,N/A,Iyalim nan fanga ta en taku in-uto ad wanga. ,Bring the clay pot so we can cook by the river.,N/A,N/A,First Person Plural,taku
talakencha,Verb,"To foster; to care for; to raise, as children, animals or chickens","/ta.la,ken.cha/",talaken + cha,N/A,Derivation,Wad-ay cha tay ayaka nan talakencha ay payew cha.,They are present because they have abundant rice fields and animals.,talakenda,N/A,Present Tense,talakencha
