,part_of_speech,meaning_english,meaning_filipino,sample_bolinao,sample_english,upos,word
sakyan,vl,"Vehicles, all kinds of transportation.",Sasakyan.,Abaw a klasi ninsakyana magawa' ruranan a mako magbyahi.,There are many kinds of transportation used in traveling.,VERB,
sakyod,n,The action of stabbing with an upward motion.,Sahod.,Say sakyod ko sa pasabing ket abaw ana kanya' kasaynan makalap.,There were a great many fish that I have scooped out of the fish corral and so there are no more to get.,NOUN,
sakyuden,vo,To pierce or stab with an upward motion.,Sakyod; sahurin.,Sakyuden nasara ni Sam a kuna' sa luob nin pasabing.,Sam scooped the fish out from in the fish corral.,VERB,
sala'bot,n,The occurrence of accidentally stepping through bamboo slats of a  floor or bridge.,Silat.,Sala'bot a mangyadi' konan dumalan sa rumok nin siir kawayan.,Stepping through the slats is what happens when passing over a damaged floor of bamboo.,NOUN,
salaban,n,"A barrier, something that hinders progress to a goal.",Harang.,Ata'gay yay salaban sa dalan kanya' kai ako makalabas.,The barrier in the path is high and so I am not able to pass through.,NOUN,
salabanan,vl,"To shield or barricade against something,.",Harangan.,"Saray sundalo',sinalabananrayay dalan nin alakin kayo.",The soldiersblockedthe way with a big tree.,VERB,
salabanen,vo,To put up a barricade.,Harangin.,Salabanen may dalan ran ayep sa danin gagawa' pigaw kai sara makadalan.,Barricade the path of the animals near the field so that they cannot pass through.,VERB,
salabat,n,Greetings or congratulations.,Batiin.,Mamapaksaw nin lalaman a salabat.,Ginger tea makes the body strong.,NOUN,
salabatan,vl,To greet someone upon their arrival where you are.,Batiin.,,,VERB,
salabaten,vo,To make ginger tea or ginger ale from ginger.,Gawing salabat.,Salabaten na ni Dan a nakali nan la'ya.,Dan will make ginger tea from the ginger he dug up.,VERB,
salabayen,vo,To carry in a manner draping over the shoulders such as an arm over the shoulder.,Akbayan.; Akbay.,Ansalabayennayay anak na.,He iscarryinghis child on his shoulders.,VERB,
salad,n,"Salad, raw, green vegetables such as lettuce and celery served with dressing.",Salad; magensalado ka ng letsugas.,Gumawa' tamo pansaladnin prutas?,Shall we make fruitsalad?,NOUN,
saladok,n,Supports or props for something that tends to be moving down.,Sahod.,"Si saladok ko, anggan isen ya tamo'.",My hand outs are only go that far.,NOUN,
saladuken,vo,To prop up an object with the hand as it is about to fall or scoop up a falling object to prevent it from being damaged.,Saluhin.,Saladuken ma a bungan mangga a manabo'.,Catchthe mangoes that are falling.,VERB,
salag,n,The radiance or brightness of a light.,Liwanag.,"Si salag nan siti si tyo' ko, maikumpara ya sa awro.",The brightness of this lamp of mine can be compared to the sun.,NOUN,
salak-salakan,vl,To be apprehensive of something.,Kinakabahan.,Salak-salakan ako nin agawid no yabi ana tuloy.,I am terrified to travel home if it is already well into the night.,VERB,
salaken,vo,To open the oyster shell and remove the edible part.,Sukabin.,Salaken ko nga'min a sayan sako' nin talaba mi'sa ilako' sa palingki.,I will remove each of the oysters in the sack full from its shell and then sell it in the market.,VERB,
salaksak,n,Kingfisher.,Kasaykasay.,"Si salaksak, pirmi yan dumpa' sa bubon mi nin minom.",The kingfisher is always landing at our well to drink.,NOUN,
salamangka,n,Magic or sleight of hand.,Salamangka.,"Saray dwindi, maong sara sa salamangka.",Dwarfs are good at magic.,NOUN,
salamangkawen,vo,Practice sorcery and magic.,Salamangkahin.,Saray raruman albularyo ket manalamangka saran pasyinti ra ket umanda' saran tampor sa masakit ra.,Some herbalists perform magic on their patients and so they are immediately healed from their pain.,VERB,
salamangkiro,n,"An illusionist, a person who entertains by magic tricks and sleight of hand, They many call on the spirits or God.",Salamangkero.,Abaw a gumayad nin mamantay konansalamangkiro.,Many pay to watch themagician.,NOUN,
salamat,intrj,Thank you.,Salamat.,Salamat sa ranom nin nibi mo kongko.,Thank you for the water you gave me.,INTJ,
salambaw,n,A net framed with bamboo that is lowered into a river at night and then taken out in the morning.,Salambaw; isang uri ng lambat.,Barang sayaysalambawmain apoy na no yabi pigaw umarak saray kuna'.,For every fishingnetthere is a light to attract fishes to come.,NOUN,
salambit,n,For thoughts or discussion to to make side references and sometimes get distracted from the main theme by them.,Salambit.,Abaw a salambit tepe' nin miisturyawan kami.,There are a lot of rabbit trails taken each time we tell our stories.,NOUN,
salampad,n,The event of breaking a fall so that it does not reach the ground but is caught by something.,Hadlang; sagabal; humadlang.,"Bana' sa salampad nan sitin kayo, kai ya nairate' sa yupa'.",Because of this tree breaking his fall he did not hit bottom.,NOUN,
salampat,n,The act of catching something with the hand.,Salo.,"Saysalampatna, mairot; kai na mabul'isan a man-ga'getan na.",His catch is tight/firm; he does not release something once he is grasping it.,NOUN,
salampaten,vo,To catch something with the hands that is falling.,Saluhin.,Salampatenmoy ibuntok kon mangga.,Catch the mangoes that I will throw.,VERB,
salangga,n,"Something that shields from something, normally from something coming down.",Bitin.,Main salangga na kanya' kai ya magket.,It had a shield so he was not hit.,NOUN,
salanggawen,vo,To prop up something to keep it from falling.,Saluhin.,Salanggawenmoy gamet na ta degten nayan kayo.,Hold backhishandfor he is trying to hit him with a piece of wood.,VERB,
salapday,n,The suspension of something.,Sampay.,"Say salapday nan sitin seket, mabista.",The way this piece of clothing hangs is beautiful.,NOUN,
salapi',n,Fifty centavos.,Singkuwenta sentimos.,Salapi' a isaliw mon suka'.,Buy fifty centavos worth of vinegar.,NOUN,
salas,n,"Living room, the area of the house where guests are entertained.",Salas.,"Saray bisita ko, iti sara sa salas ma'lek no rumate' sara.","My visitors when they come, sleep here in the living room..",NOUN,
salay,n,"An egg produced by the female chicken, bird, reptile, snake and some other animals from which the young hatch.",Itlog.,A'nem raysalay nan manok sa pugar.,There were sixchicken eggs in the nest.,NOUN,
salaysay,n,"Narration as an event, communication.",Salaysay.,Mataros nan maong a salaysay nan maistro ni Dan maipa'ka' sa man'adalen ra.,Dan understood well the narration of his teacher concerning what they were teaching.,NOUN,
salaysayen,vo,To narrate or recount a story of  something that happened.,Magpaliwanag; ipaliwanag; paliwanagen.,Salaysayenmon maong a nangyadi' pigaw matandaan.,Explainclearly what happened so that we will know.,VERB,
salbabida,n,"Life preserver, that which is used in case of an emergency out at sea as float for those who do not know how to swim.",Salbabida.,Mangawit kamonsalbabidano mako kamo maryo' sa taaw.,"Whenever you go to take a bath in the sea, bring with you alife saver.",NOUN,
salbador,n,"Saver, one who saves and rescues from danger.",Tagapagligtas; wala na sa panganib.,Si'yay salbador ko no mako kami maryo' ta kai ko tanda' tumangoy.,He is the life guard when we go into the water since I don't know how to swim.,NOUN,
salbahi,n,One who acts savagely or as a rascal.,Salbahe.,"Salbahikan anak, duka' a ginawa' mo.","Your asavagechild, what you did was evil.",NOUN,
salbawan,vl,To sound off a warning shot or a shot to honor someone.,Magpaputok.,Sinalbawan rayan sundalo' a nati nin upisyal sundalo'.,The soldiers made agunshotsalute for the dead comrade.,VERB,
saleng,n,A pine tree.,Payn.,"Say kayo nin saleng, kasabyan ibat sa Tsina.",The pine tree is commonly from China.,NOUN,
salepsep,n,"The tendency of a wound to fill with water and pus and become infected, swollen  and painful.",Sumipsip ng tubig.,Say salepsep nan sugat na a namabaya' konan ayi na.,The pus in his wound was caused by the swelling in his foot.,NOUN,
sali',part,There might be a chance later that something would happen.,Baka.,Palna-palna' kan lumalako ta sali' mipadalunot ka.,Be careful how you walk for you might slip down.,PART,
salida,n,A course of action to accomplish something.,Pagpunta.,Abaw a salida ko no kai rako mapaed.,I have many options to move if you don't prevent me.,NOUN,
salidawen,vo,Momentum.,Puntahin.,Ka'no masalidawena amigo mo sa Manila?,When do you intend togoand see your friend in Manila?,VERB,
saligagaw,adj,"Absent-minded, going somewhere without listening to instructions or a person who is not behaving according to cultural norms.",Lumilipad ang isip.; Malilimutin.,Saligagawka kai mo reng'en a bibilin.,You areabsentmindedfor you did not listen to the instructions.,ADJ,
salimbeng,n,A thing or refuge that protects from something that is not wanted.,Takip.,"Si turda, salimbeng ya no maksaw a siri.",The tent is a protection from a strong wind.,NOUN,
salimbengan,vl,To conceal or put up an obstruction to prevent something from being sensed or harmed.,Takpan.,"Si gunem,salimbengannayay awro.",The cloud is hiding the sun.,VERB,
salin,n,"Something plagiarized from someone else's work, words or actions.",Kopya.,Salin na ni Tirso koni Arnold a ubat na sa tepet.,Tirso's answer to the question is lifted from Arnold.,NOUN,
salinen,vo,To copy something by hand.,Kopyahin.,Salinenmoy naisurat sa pisara.,Copythe writings on the blackboard.,VERB,
salingsing,n,The shoots of a plant such as a leaf or a twig growing from a tree branch or trunk.,Usbong.,Abaw a timmubo' ninsalingsingsa puon nan kayo.,There are a lot of new sprouts growing on the trunk of that tree.,NOUN,
salipne',n,"A safe haven or place of shelter, especially for ships, such as a place near the seashore where it is hidden and calm.",Panganlungan ng mga bapor; puwerto; taguan.,Salipne'yay lugar sa Binabalian Luob.,The area of Binabalian Luob is asheltered area.,NOUN,
saliptri,n,"Nitrate, a chemical, saltpeter .",Saliptre.,Gaw'en nin purpuda asaliptritan mamatib'ey nin karni.,Saltpeteris used in matches and used to make meat fresh.,NOUN,
salisay,n,"Tropical Almond Tree having large, shiny, ovate leaves and white flowers and grows along the shore and produces edible nut like fruit.",Talisay.,No sabtan anan amot itaw sa rigrig baybay mako kami sumirong sasalisay.,When the sun grows hot in the beach we go under the shade of the salisaytree.,NOUN,
salisiliko,n,Salysilic acid is applied on the skin infected with tena flava.,Salisiliko; asido salisiliko.,Abaw a kadis ko intaw bale' sin inaprusan konsalisilikokasayna sawanin.,My face was affected with Tena flava but I appliedsalysilicacid and now it's gone.,NOUN,
saliw,n,A payment of money that is given in order to buy something.,Bili.,Mamuda tamo' a saliw ko sa salay ta pinakyaw ko.,The price I pay for eggs is cheap since I buy wholesale.,NOUN,
saliwen,vo,To buy something for an exchange.,Bilhin.,Rabay koy manaliw byas mo.,I want tobuyyour rice.,VERB,
salmeng,n,"Loathing something, shudder and move away from as though afraid.",Walang gana.,,,NOUN,
salmista,n,The poet writer and singer of the Psalms.,Salmista.,Si sangkaungan asalmistasi David a syay nanganta konran salmos sa Biblya.,The bestPsalmistis David who sang the Psalms in the Bible.,NOUN,
salmon,n,Brilliant reddish-yellow or peach color.,Kulay salmon.,Mabli a salmon ta mabista ya nin klasi nin kuna'.,Salmon is expensive since it is a good kind of fish.,NOUN,
salmos,n,The book of Psalms.,Mga awit.,Magkanta tamonSalmosa ipangrayo konan Dios.,Let us sing Pslams to praise God.,NOUN,
salo,adv,A word used for appreciation or for sarcasm depending on intonation and body language.,Nako; hay nako.,Mako ka salo magtrabaho kanya' masakbay kan nimata.,You will probably go to work and so will wake up early.,ADV,
salod,n,A collector of something such as a pail to catch dripping water or cupped hands receiving money.,Sahod.,Atrasado a salod kanya' nin nalbet a siir nin turo' nin rapeg.,The catching of the leak from the rain was late and so the floor got wet.,NOUN,
salon,n,A square area of bamboo with long seating area and decorations with a length and wide of 10 x 8 Meters or more for celebrations.,,,,NOUN,
salop,n,"The standard dry measure of about 3 liters for rice, beans, salt, etc.; 25salopof rice is equal to 1kaban, 9gatangequal onesalop.",Salop.,Saya salop tamo' nin byas a nasaliw ko.,What I bought was only one measure of rice.,NOUN,
salsalen,vo,To masturbate.,Salsalin.,,,VERB,
salso',n,A joint that is bendable.,Buko.,Si salso' nan sitin trak ket alaki ya.,The drive shaft knuckle of this truck is big.,NOUN,
salta,n,"The act of mounting or leaping on a horse, motorcycle, etc.",Sampa.,Mainum'ay a salta na sa kabayo ta naparmaw yayna.,It is easy for him to mount the horse for it is routine for him.,NOUN,
saltek,n,The effect of an abrupt jolt or movement of bouncing on a hard surface.,,Maksaw a saltek nan tumbong ko sa tekrean nan traysikel bana' sa alakin lutak sa kalsada.,The sudden jolt of my bottom hitting the seat of the tricycle because of the big crack in the pavement was strong.,NOUN,
salu'so',n,Small things that are left behind after something pierces the body.,Salubsob.,Main nin salu'so' ko sa ayi kanya' nin kai ako makalalako nin maong.,I have slivers in my foot and so I am not able walk well.,NOUN,
saluden,vo,To catch something flowing in a container.,Sahurin.,Si Sam ket manalod yan ranom nin rapeg sa salulog nin usar a dram tan palanggana.,Sam catches the rain water from the gutters using a drum and a wash basin.,VERB,
saludo,n,"Salute, way of giving respect to military officials, (hand salute, gun salute, etc).",Saludo.,Saludo a mu'nan gaw'en ran sundalo no maka'kit saran upisyal ra.,A salute is the first thing done by a soldier when he sees his commanders.,NOUN,
salulog,n,Rain gutter.,Alulod.,"Si salulog nan siti si bali, nasida' yayna kanya' ya nin silyan.",The rain gutter on the house was ruined and so it was changed.,NOUN,
saluloy,n,A zigzag stitch used to sew tears in a fabric.,Sigsag na tahi.,Madali' nin galten a saluloy nin tayi'.,The sewing is easily removed.,NOUN,
salulugan,n,"Anything that is used to guide falling or moving water, a sluice.",Tubo; alulod.,Anro yay tubo asaluluganranom.,The pipe used to guide the moving water is long.,NOUN,
saluluyen,vo,To stitch a tear or flaw in a fabric with a zigzag stitch.,Tahiin ng sigsag.,Mabistay nikakupit nan bisang no saluluyen ya.,When a zigzag stitch is used it makes a nice closure of the tear.,VERB,
salumagi,n,"Tamarind, a tree that bears a tropical fruit with a sour taste when unripe and sweet and sour when ripe.",Sampalok.,Ilamo' yasalumagi.,Addtamarind.,NOUN,
salutaturyan,adj,Salutatorian.,Salutatoryan.,Mas maong yan magdiskurso asalutaturyandyan si balidikturyan.,Thesalutatorianis a better speaker than the validictorian.,ADJ,
saluyot,n,A plant whose leaves and fruit are used as vegetables more or less resembling spinach. The stem can be used for jute fiber.,Saluyot.,Madalunot ti saysaluyotno maluto'.,This okra when it is cooked is slippery.,NOUN,
salyep,n,The act of sipping a liquid.,Higop.,Main tunoy nin salyep na ni Jining no minom yan kapi.,"When he drinks coffee, Jining's sip have a sound.",NOUN,
salyepen,vo,"To sip hot liquid such as coffee or soup creating a sound, slurp.",Sipsipin.,,,VERB,
sam'i-sam'itan,adj,To have a slight distinguishable sweetness.,Manamis-namis.,"Say taway ninbinagis,maalsem tan sam'i-sam'itan.",The taste of boiled organs issour with a bit of sweetness to it.,ADJ,
sam'it,n,A sound that is beautiful to listen to or something that is beautiful to see.,Matamis.,Mas mabayani ya a sam'it nan maputi a asukar dyan say mu'dit a asukar.,The sweetness of white sugar is much stronger than red sugar.,NOUN,
sam'itan,vl,To sweeten something.,Tamisan.,Sam'itan ma et buga' a tinambutambong.,Sweeten the mixed dessert a bit more.,VERB,
sama',n,"Filth, that which makes something dirty or unclean.",Dumi.,Abaw a sama' nan aysing ko.,My clothing has a lot of dirt on it.,NOUN,
samaan,vl,To defile or make something dirty.,Dumihan; magparumi; parumihin.,Ambo' mabistan bagay asamaannin kasalanan a byay.,It is not good todefileone's life with sin.,VERB,
samaen,vo,To defile or make something dirty.,Dumihan; parumihin.,Manama' ya si Juan sa bali ra no manigarilyo yan pirmi.,Juan dirties up their house when he is always smoking.,VERB,
samal,n,"Poison, a substance that can harm or kill if it is absorbed.",Lason.,Manaliw ako nin samal sa ibot pigaw ma'pos sara nin mati.,I bought rat poison so as to eradicate them.,NOUN,
samalen,vo,To poison something.,Lasunin.,Manamal tamon ibot.,We'll poison the rats.,VERB,
samat,n,Betel leaf vine with glossy green heart shaped leaves that have a peppery taste that are used for medicinal purposes as well as betel chew.,Samatanito.,"Say samat, usaren ipanglat ray'ep sa lalaman.",The betel leaf is used to remove the feeling of coldness in the body.,NOUN,
samba,n,An oath or a vow of something good or bad.,Sumpa.,Si samba ko komo ket main ipikto na.,My vow to you is effective.,NOUN,
sambali,n prop,The cultural and language group that is found in Zambales. Bolinao is a part of this group linguistically.,Zambal.,Kai ako et naka'kit nin Sambali.,I have not yet seen a Sambal.,PROPN,
sambaso,n,One cup of something.,Isang baso.,"Ibarita' koyti komoyo, si si'numan a mamainom nin abirno tana sambaso nin ranom komoyo bana' ta tanda' ra a tumutumbok katamo nin si'ko a si Cristo, si mangwa' nin wanin kasan sapo a mabyan ya li' nin gun-guna.","I tell you this, whoever will give a drink to you even just a cup of water because they know that you are my followers, I who am the Christ, whoever does like that will certainly/without a doubt receive a reward.",NOUN,
sambawan,vl,"To make an oath, to promise or make a solemn statement or vow.",Sumumpà; manumpà isumpà.,"Alimbawa', sin nagpangako' yay Dios kona ni Abraham, nipatutuo na sa lalaman na nin diri a tukiden nay pangako' na ta kasaynan si'numan nin ata'gay et nin magwa' nan sambawan.","For example, when God made his promise to Abraham, he confirmed by his own self that he would fulfill his promise since there is none whoever that is yet higher that could be sworn by.",VERB,
samben,n,A separation between two items to keep then from mixing.,Sagabal.,Main nin samben nin halublak sa pibutlayan ran buyangin tan graba.,There is a hollow block divider between their sand and gravel.,NOUN,
sambenan,vl,To hinder or block something.,Harangan.,Say gawa' nan Ispirito nan Dios ket andi' moyo nin sambenan.,"The work of the Spirit of God, do not hinder it.",VERB,
sambenen,vo,To put a stop or a hindrance between things to keep them from moving such as to go stop a peddler passing by in order to buy something.,Magkasulubong; sumalabong; salubungin.,Pulapil a manamben nin maksaw nin agos sa gagawa'.,The dike is what stops the strong flow of water from the field.,VERB,
sambong,n,Fried or roasted fish or meat added for taste to a dish of primarily vegetables.,Sahog.,Nira'pog nin mulmol a sambong nan pising.,I roasted parrot fish as a flavoring for the vegetables.,NOUN,
sambot,inf,Take advantage of something to meet a time related goal.,Madali.,Sambot yaynan sambot nin pruyikto na sa iskol si Sam ta dandani anayclosing.,Sam is repeatedly working-in time on his project at school since it is almost school closing.,VERB,
sambungan,vl,To add fish or meat into a vegetable dish to add flavor.,Haluan; sahugan.; Ilahok.,Sambunganmon rina'pog a barangen a pising nin kalubasa tan parya'.,Add roasted fish with squash and ampalaya.,VERB,
sambutan,vl,To strive to meet a time related goal.,Madalian.,Mangimbor yan bubon si Sam no manago' ya ta sambutan na.,Sam churns up the water in the well when he draws it for he is in a hurry.,VERB,
sambuten,vo,To take advantage of something or someone before the opportunity slips away.,Tapusin sa takdang oras.,Madali' ka tasambutentayay bos.,Hurry up we mustcatchthe bus.,VERB,
samisami,n,The welcoming atmosphere of a situation.,Palabati.,Say samisami ko konran tawo ket mabista.,My warmness toward people is good.,NOUN,
sampad,n,The solid and structural portions of the bow and stern of a boat to which the external plywood is nailed.,,Kai ya madali' masida' a sampad nan mutor ko ta kinwan yan pasak a kai tumaey.,The structural portions of my motorboat will not quickly be ruined since it was covered with metal that will not rust.,NOUN,
sampagita,n,"Jasmine type shrub with white flowers smaller than those of sampaga, referred to often as tropical rose, adopted as National Flower of the Philippines.",Sampaguita.,Bana' sa kabistawan nansampagitaabaw a mangrayo kona tan nangwa' sara et nin kanta a maipa'ka' kona.,Because of the beauty ofjasmineflower many loved and appreciated it and even composed poems and songs about it.,NOUN,
sampal,n,"A support for the legs in bed (e.g., a pillow or a person).",Sampa.,Awit-awit nayan pirmi nin anak a sampal na no miikap ya.,The child always carries around his leg support pillow when at play.,NOUN,
sampalan,vl,To place a leg over something or someone when lying or sitting down or sleeping.,Sampalan; sampahan.,Ka'bawan nin tawo kai ra rabay nin sampalan saran kadani ran nida'.,Most people do not like those lying down beside them to place a leg over/on them.,VERB,
sampat,n,"The fast action of snatching or capturing something, usually with one hand.",Agaw.,Ambo' madaras a sampat na kanya' kai naya nin nakalap.,His snatch was not fast and so he did not get it.,NOUN,
sampatan,vl,"To snatch at something without asking, usually for fun or teasing such as the ball in a game or candy or a coin.",Agawan.,Maririket saray a'nak no miikap sara nin sampatan bula.,The children are happy when they are playing snatch the ball.,VERB,
sampaten,vo,Grab or snatch something quickly with the hand.,Agawin.,Alisto yan manampat nin panyo' sin ampiikap sara.,He was agile at snatching the handkerchief when they were playing.,VERB,
sampaya,n,"A jar of water, water is presumed but should be specified.",Isang bang^a ng tubig.,Sampaya a ranom na ni Dan sa kusina' na.,Dan has one large clay pot of water in his kitchen.,NOUN,
sampi-samping,n,Blue pea vine.,Pukinggan.,Mataway ipising asampi-samping.,Blue pea vineis a good kind of vegetable.,NOUN,
samplanggana,n,One basin of something.,Isang planggana.,Itaw sa Anda main saray ina a no ma'mot yan tuloy a anak mangwa' saran samplanggana nin ranom sa ulwan nan anak.,In Anda there are mothers that when a child has a high fever they put basin full of water above the head of the child.,NOUN,
samsam,n,The act of forcefully snatching somethingthat is being held and protected.,Agaw.,Abaw a samsam ko ba'yo koya nakalap.,I had a lot of things taken away from me and then I caught him.,NOUN,
samsaman,vl,"To snatch, or grab from someplace.",Agawin; sunggaban.,,,VERB,
samsamen,vo,To grab or take something by force.,Agawin.,Andi' kamanamsamnin man-ga'getan nan sayay tawo.,Do notgrabwhat others are holding.,VERB,
san-juan,n,A variety of banana whose fruit has a triangular cross sectional shape. It is yellow when ripe with a big red spot and has a sourlike taste.,Saging San Juan.,,,NOUN,
san'ili,n,Alien or foreigners things.,Dayuhan.,Mainsan'ilinin manparat'enen ko.,I am expecting myvisitors.,NOUN,
san'ilyen,vo,To invite someone in even without a prior invitation and treat them as a guest.,Estimahin.,San'ilyen tamo saray kasan matuluyan no kumpirinsya sa kapilya.,We put up the visitors if they have no place to stay when there is a church conference.,VERB,
sana',n,The act of meeting someone someplace.,Salubong.,Mariga a sana' mi sa Pasko ta abaw ma'kan.,Our meeting together at Christmas is joyous for there is a lot to be eaten.,NOUN,
sanaen,vo,To meet someone along the way.,Salubungin.,Sanaen ma si nanay ta mabyat a awit na.,Go meet mother for what she is carrying is heavy.,VERB,
sanbaar,n,One large bundle of rice.,,Mapulo' raykabteksa sanbaar.,There are 10 small bundles in one large bundle of rice.,NOUN,
sandalyas,n,"Sandals, an open foot protection that is fastened on the foot with straps..",Sandalyas.,Na'met yay sandalyas ko kanya' ako mabereng.,My sandals are lost and so I am sad.,NOUN,
sandeng,adj,"Not fluent, to not speak well by doing things like inverting words and sounds.",Hindi sanay.,No mag'irgo ya ket sandeng kanya' kai ko matarusan.,When he speaks it is turned all around and so I cannot understand him.,ADJ,
sandi,n,To stand in for someone who is not available.,Kahalili; kinatawan.,Mako ako sa kasal nin sandi nako ni Elmer nin ninong.,I will go to the wedding as a proxy for Elmer as a god-father.,NOUN,
sando,n,Undershirt.,Sando.,Rabay-rabay koy misulot ninsandota prisko a kaingaran.,I like to wear sleevelessundershirtfor it makes me feel fresh & cool.,NOUN,
saneb,n,A blockage or interruption of a person or flow of water.,Sanib.,Abaw a saneb na kanya' kai ya mapaduksaan.,There he had a lot of interruptions and so he did not get harmed.,NOUN,
saneban,vl,To wait and plan to stop or interfere with something or someone in the middle of a task.,Tambangan.,"Ket si'kami anamaet, saneban tan patyen miya ba'yo ya nin makarate' iti.","And we, on the other hand, will ambush and kill him before he arrives here.",VERB,
sanengseng,n,The extreme speed of something.,,"Sa sanengseng nan sitin ruran, nasida' ya.",This car was destroyed because of its speed.,NOUN,
sanet,n,"A lash, a very strong fast strike from a thin object such as a belt, slipper or slat of bamboo that stings.",Hampas.,Masakit a sanet mo kanya' ako mangred.,Your lashes hurt and so I flee.,NOUN,
saneten,vo,To scourge someone angrily with something like a big stick or a slat of bamboo.,Hagupitin ng latigo.,Sinanet kway aso ta kinayat nayay kuna' a nibul'is ko.,I whipped the dog since he bite the fish that I had released.,VERB,
sang'a-sang'ap,v,To be gasping for breath.,Naglalanghap; sumasanghap.,Sang'a-sang'apyan minawa sa idap na ta asmawen ya.,His breathing is indifficult gaspsbecause he is suffering from asthma.,VERB,
sang'ap,n,Inhalation through open mouth and nostrils with effort trying to catch one's breath.,Singhap.,"Si sang'ap mo, anted ya kanya' ka mangalap siri.",Your gasps are short and so take in some air.,NOUN,
sanga,n,Branches of trees where the leaves grow and bare fruit.,Sanga.,"Sarbansanganin kai gumunga, mapukan ta puuran.",All thebranchesthat do not bear fruit will be chopped off and burned.,NOUN,
sanga-sanga,n,The hand guard of a dagger.,Mga sanga.,Rumipay-ripay ya konan sanga-sanga nin kayo.,He travels through mass of branches in the tree.,NOUN,
sangal,n,A dove tail type of joint with an overhang giving support to the whole structure.,Suhay.,Say sangal ran tu'dek a mamin eget sa bali.,The dovetail joint on the pillar is what gives strength to the house.,NOUN,
sangalen,vo,To fit a dovetail joint together.,Lakipin.,Sangalenmoy kayo nan lamisawan.,Dovetailthe wood of the table together.,VERB,
sangawan,vl,To branch of from something.,Sangahan.,,,VERB,
sangga,n,The act of fending or parrying of a blow.,Sangga.,Sangga pirmi a taso mo kongko ta alaki a takyay ko.,Your punches at me are always blocked since my arms are big.,NOUN,
sanggawen,vl,To prevent something from happening such as blocking a punch.,Sanggahin.,,,VERB,
sanggol,n,The act of arm wrestling.,Bunong braso.,Kiten tamo pa no si'noy manalo sa sanggol.,Let us see who will win in arm wrestling.,NOUN,
sangitan,n,A kind of fish.,,,,NOUN,
sangka'getan,adj,To be the most sturdy or long lasting.,Pinakamatibay.,Sangka'getan kano nin kayo ket say kayo nin nara.,It is said that the most durable wood is narra.,ADJ,
sangka'ranan,adj,The oldest of all.,Pinakaluma.,"Sa sangka'ranan a nikaisurat nan sitin libro sa Griego, kai nin ma'kit a labinrwan masusuyot nin birsikulo kanya' nin kasabyan ran madudunong maipa'ka' sa Biblia, man'isipen ran main nin sakalakon tawon nangilamo' nin nanurat sa sayti a ambo' ya si Marcos.","In the oldest writings of this book in Greek, the last 12 verses can not be seen therefore most of those that are wise concerning the Bible, are thinking that it was a different person that authored adding this and not Marcos.",ADJ,
sangkaababwan,adj,The shallowest part of something.,,Si parti nan taaw nin adani sa baybay a sangkaababwan.,The shallowest part of the ocean is next to the beach.,ADJ,
sangkaabasan,adj,Wrong in the highest degree.,Maling-mali; pinakamali.,"Say tanda' mo,sangkaabasan.",What you know ismost wrong.,ADJ,
sangkaadanyan,adj,Most intimate.,Pinakamalapit.,Sangkaadanyan yay bali na ni Juan sa iskilawan.,Juan's house is closest to the school.,ADJ,
sangkaadiwan,adj,To be the most hidden.,Pinakatatago.,Sumulpot a irgo nan Dios sa sangkaararman nan kararwa tan kanakman nan tawo tan masukisok na mataman et say sangkaadiwan ana nin man'isipen tan man'apesen tamo.,The word/speech of God pierces through the deepest parts of the soul and inner being of a person and it can extensively search/find out even that which is the most hidden of the things we are thinking and desiring.,ADJ,
sangkaaduan,adj,Most loving.,Pagmahal sa lahat; pinakamamahal.,Si Jesus asangkaaduannin amigo.,Jesus is themost lovingfriend.,ADJ,
sangkaakulawan,adj,"The oldest woman, the eldest among the women.",Pinakamatanda sa mga matatanda babae.,Sisangkaakulawankonra ket sanyasot tan limay taon na.,Theeldestamong the women is one hundred five years old.,ADJ,
sangkaalakyan,adj,Biggest or greatest of some group.,Pinakamalaki.,SangkaalakyanyayWhite Housesa Bolinao.,The white house is the largest house in Bolinao.,ADJ,
sangkaalawangan,adj,The widest of all.,Pinakamaluwag.,"tan ambo' in tamo' ta, main nin sangkaararman tan sangkaalawangan nin bwang sa pisa'lean tamo.","and not only that for, there is a very deep and very wide chasm between us .",ADJ,
sangkaandaan,adj,The most beautiful or wholesome thing.,Pinakamainam.,Say kasan anggawan a pakasida' tan pakaisyay konan Catawan tan sa sangkaandaan nin nagwa' nin pakayadi' na a dusa ra li'.,The endless destruction and separation from the Divine and from the most beautiful/wholesome things that his power has done will be their punishment.,ADJ,
sangkaanrwan,adj,Longest of the long.,Pinakamahaba.,Si lapis kosangkaanrwanya sa sarban iti.,My pencil is thelongestof all of these here.,ADJ,
sangkaantedan,adj,Shortest of the short.,Pinakamaiksi.,Si lapis ko asangkaantedankontamo nga'min.,My pencil is theshortestof all of ours.,ADJ,
sangkaararman,adj,To be super deep.,Pinakamalalim.,Sumulpot a irgo nan Dios sa sangkaararman nan kararwa tan kanakman nan tawo tan masukisok na mataman et say sangkaadiwan ana nin man'isipen tan man'apesen tamo.,The word/speech of God pierces through the deepest parts of the soul and inner being of a person and it can extensively search/find out even that which is the most hidden of the things we are thinking and desiring.,ADJ,
