Tuwali Words,Root Word,,Affixes,,English Translation,Tagalog Translation,Meaning,Part of Speech
nundadaan,dadaan,nun-,-,-,to pass by,dumaan,to go past or travel along a certain path/place,Verb
nundadammuwan,dammu,nun-,-,-wan,gathering / occasion,pagtitipon / salu-salo,"a social event where people come together, usually to celebrate, eat, or discuss something",Noun
nundotal,dotal,nun-,-,-,to arrive,dumating,to reach a destination or appear at a place,Verb
nungay,nungay,-,-,-,to come,dumating,to arrive at a place; the act of reaching a destination,Verb
nunggawa,nungawa,-,-,-,in the middle,sa gitna,at the center or between two things,Verb
nungginawadah,gawid,nun-,-,-ah,they were cold,nilalamig sila,they felt cold or were experiencing a low temperature,Verb
nunha’ut,haut,nun-,-,-,to be angry,magalit,to feel or express strong displeasure or rage,Verb
nunhaangan,haang,nun-,-,-an,to ask,magtanong,to pose a question or request information,Verb
nunhabal,habal,nun-,-,-an,to answer,sumagot,to respond to a question or statement,Verb
Nunhahapit,hapit,nun-,-ha-,-,agreed / discussed,nag-usap,to have talked with one another and reached an agreement or understanding,Verb
nunhapitanda,hapit,nun-,-,-anda,they spoke,nagsalita sila,they uttered words; they conversed or gave a speech,Verb
nunhegla,hegla,nun-,-,-,severe,grabe,"very serious, harsh, or extreme in degree, effect, or intensity",Noun
nunheglay,hegla,nun-,-,-y,to shout,sumigaw,to cry out loudly; to raise one’s voice forcefully,Verb
nunhidum,hidum,nun-,-,-,to hide,magtago,to conceal oneself or an object so as not to be seen,Verb
nunhimpapakawan,pakawan,nun-,-himpa-,-,to pray,magdasal,"to speak or communicate with God or a deity, often in worship or supplication",Verb
nunhituwan,nunhituwan,-,-,-,place of origin,pinagmulan,"the starting point, source, or where something or someone came from",Noun
nunhituwan da,nunhituwan,-,-,-da,they live there,nakatira sila doon,they dwell or reside in that place,Verb
nunibbada,ibba,nun-,-,-da,to leave,umalis,to go away or depart from a place,Verb
nunibban,ibba,nun-,-,-n,to take off,para mag-alis,"to remove clothing, shoes, or an object; can also mean to depart (e.g., plane taking off)",Verb
nunible,ible,nun-,-,-,took a rest,nagpahinga,"to stop working or being active for a period of time in order to relax, recover, or regain energy",Verb
nuningngo,ingo,nun-,-,-,equal / the same,pantay,"being the same in size, amount, value, or level; fair or balanced",Adjectives
nunitanom,tanom,nuni-,-,-,to plant,magtanim,to place seeds or plants in the ground to grow,Verb
nunkabawan,kabaw,nun-,-,-an,to remove,tanggalin,to take something away from where it is attached or placed,Verb
nunlinikkod,likkod,nun-,-ni-,-,encircle / surround,palibutan / palibutan,encircles something in all directions; surrounds something,Verb
nunlinikodan,likod,nun-,-,-,to turn one’s back on something or someone,talikuran,"to face away from; to abandon, ignore, or reject",Verb
nunliokdana,likod,nun-,-,-na,to make it grow,patubuin,to cultivate or cause a plant (or idea/skill) to grow and develop,Verb
nunmahikon,mahikon,nun-,-ma-,-,boyhood,pagkabata,refers to the time of boyhood,Verb
nunnananong,nanong,nun-,-na-,-,remained,nanatili,Action of staying or remaining in a place,Verb
nunnanong,nan,nun-,-,-ong,continue,magpatuloy,for something to remain over a period of time; to continue,Verb
nunnunnible,ible,nun-,-,-,rested,nagpahinga,"took a break, paused from work or activity; literal: “gave oneself a rest”",Verb
nunpataddog,taddog,nun-,-pa-,-,establish,magtatag,to setup on a firm or permanent basis,Verb
nunpili,pili,nun-,-,-,decide,magpasya,to make a choice,Verb
nuntobal,tobal,nun-,-,-,to stone,batuhin,Action of throwing stones at something or someone,Verb
nuwang,uh wang ga,-,-,-,cattle / livestock,parang baka,like cattle / livestock,Noun
nuwang,nuwang,-,-,-,raise-carabao,magtaas-kalabaw,to raise carabaos,Verb
o,o,-,-,-,or,o,A conjunction used to connect two or more alternative choices in a sentence.,Conjunction
O ngem,o ngem,-,-,-,but,Ngunit,Conjunction indicating contrast,Conjunction
ob-ob,ob-ob,-,-,-,incubate,incubate,to incubate eggs,Verb
oban,oban,-,-,-,swaddle-carry,swaddle-carry,to carry child with blanket,Verb
obbo,obbo,-,-,-,follow,sumunod,to follow one another in an action; one after the other,Verb
obo,obo,-,-,-,offer,alok,focuses on what is offered during the ritual,Verb
odda,odda,-,-,-,outer layer,pang-ibabaw; panlabas,"the outer layer of something, especially clothing or covering",Noun
odon,odon,-,-,-,hold,humawak,to hold; to carry s,Verb
odonnona,odon,-,-no-,-na,held it,hinawakan ito,Action of holding something,Verb
odop,odop,-,-,-,extinguish,patayin,to extinguish light; to put out fire,Verb
og'a,og'a,-,-,-,drop,ihulog,to drop something,Verb
oggan,oggan,-,-,-,often,madalas,frequently; many times,Adverb
ognam,ognam,-,-,-,your lap,iyong kandungan,Refers to the lap of a person,Noun
ognan,ognan,-,-,-,hold,hawakan,"to grasp, carry, or support",Verb
ognana,ognan,-,-,-na,to sit,umupo,Action of sitting,Verb
ognanay,ognan,-,-,-ay,to sit down,umupo,Action of sitting down,Verb
ogod,ogod,-,-,-,small cuts,maliliit na hiwa,"to have small cuts on hands or feet, usually cut by grasses",Verb
ogon,ogon,-,-,-,hesitate,mag-alinlangan,"to hold back in doubt and hesitation, often because there is an awareness of a distinction in status",Verb
ogwak,ogwak,-,-,-,separate (banana stalks),hiwalay (mga tangkay ng saging),to separate banana stalks into sections,Verb
oh,oh,-,-,-,that,iyon,Refers to a specific object or person,Pronoun
oha,oha,-,-,-,one,isa,being a single unit or thing,Noun
oha,oha,-,-,-,once,minsan,one time; once,Verb
Oha nan,oha,-,-,-nan,One,Isang,Quantifier,Noun
ohab,ohab,-,-,-,yawn,humikab,open the mouth involuntarily in reaction to fatigue or sleepiness; to yawn,Verb
ohan,ohan,-,-,-,one (in counting),isa,"Used in counting, indicates the number one",Noun
ohay,oha,-,-,-y,one (referring to a single item or person),isa,Refers to a single item or person,Adjectives
ohbog,ohbog,-,-,-,swarm,kuyog,swarm of any flying thing,Verb
ohhaan,ohhaan,-,-,-an,alone (do),mag-isa (gawin),to do something alone,Verb
ohlang,ohlang,-,-,-,shake off,umiling,to shake off the charred portion of a burning object,Verb
ohnong,ohnong,-,-,-,stop / stand,huminto / tumayo,to stop moving; stand still,Verb
ohok,ohok,-,-,-,plant (seeds),halaman (mga buto),to plant seeds in holes made in the ground,Verb
okak,okak,-,-,-,fissure; crevasse,fissura; bitak,massive crack or fault in the earth caused by an earthquake,Noun
okbob,okbob,-,-,-,pin down,i-pin down,to hold down someone or something with one's body,Verb
oklang,oklang,-,-,-,spit,dumura,to spit out phlegm,Verb
okmom,okmom,-,-,-,catch (with body),mahuli (may katawan),"to catch something with the whole body covering the object, e",Verb
olat,olat,-,-,-,time,oras,the ongoing sequence of events,Noun
old'ap,old'ap,-,-,-,glow,kumikinang,to be luminous; refers to anything that glows in the dark,Verb
olden,olden,-,-,-,order / command,utos / utos,to order someone to do something; to make into a rule or ordinance; to delegate responsibility to someone,Verb
olom,olom,-,-,-,suspect,pinaghihinalaan,to be suspicious; to distrust someone or something,Verb
olong,olong,-,-,-,nose,ilong,part of the face used for smelling,Noun
olot,olot,-,-,-,strength,lakas,the state or quality of being strong,Noun
olpop,olpop,-,-,-,hiss (cat),sumirit (pusa),for a cat to make a hissing sound,Verb
oltad,oltad,-,-,-,dry (wood),tuyo (kahoy),refers to the drying of trees that have been cut down for firewood,Verb
olwag,olwag,-,-,-,cheer,palakpak; hiyawan,expression of approval through loud shouts,Noun
olwang,olwang,-,-,-,flash flood,biglaang baha,sudden flood in a river due to heavy rains,Noun
Om,om,-,-,-,yes,oo,agreeing to a situation,Noun
omgag,omgag,-,-,-,stop (suddenly),huminto (biglang),to stop doing something suddenly,Verb
omman,om man,-,-,-,yes indeed,oo nga,Expresses strong agreement or affirmation,Interjection
omnaw,omnaw,-,-,-,desire,pagnanasa,to desire something; to like something or someone tremendously,Verb
omwa,omwa,-,-,-,straighten,ituwid,to change position by straightening up from bending over,Verb
on'at,on'at,-,-,-,pull ladder,hilahin ang hagdan,to pull up the ladder to place inside the house,Verb
ona,ona,-,-,-,before,bago / dati,Indicates something occurring earlier in time,Adverb
onan,onan,-,-,-,crowd,karamihan ng tao,to occupy a big space; crowded around a place; blocking the way,Verb
onda’an,ondaan,-,-,-,now where is it,ngayon nasaan na,Asks the current location of something,Pronoun
ong-ong,ong-ong,-,-,-,dedicate,mag-alay,to dedicate something to a god or a cause,Verb
ongag,ongag,-,-,-,large / big,malaki,big in size,Adjectives
ongal,ongal,-,-,-,grow,lumago / tumubo,to undergo a natural development increasing in size and changing physically,Verb
ongal,ongal,-,-,-,huge,napakalaki,extremely large; enormous,Adjectives
ongaongal,ongal,onga-,-,-,gigantic,higante,of very great size or extent; huge or enormous,Adjectives
ongongngal,ongal,ong-,-,-,bigger,mas malaki,Indicates something larger in size,Adjectives
ongot,ongot,-,-,-,threaten,pagbabanta,to threaten action,Verb
onha,onha,-,-,-,if only,kung pwede lang,Expresses a wish or hypothetical situation,Interjection
onom,onom,-,-,-,six,anim,cardinal number six,Adjectives
opa,opa,-,-,-,land / alight,lupa / bumaba,to land or alight some place; usually referring to a bird alighting somewhere; may also be used of a plane landing,Verb
opat,opat,-,-,-,four,apat,cardinal number four,Adjectives
ope,ope,-,-,-,bewitch,makulam,to cast a spell on someone,Verb
opereyt,opereyt,-,-,-,operate,paganahin,to control the function of something,Verb
opisina,opisina,-,-,-,report (to office),mag-ulat (sa opisina),to report for work in an office,Verb
opisyal,opisyal,-,-,-,become officer,maging opisyal,to become an officer or official,Verb
opong,opong,-,-,-,share,ibahagi,to be given a share of something,Verb
opopya,opya,op-,-,-,quiet,mahina ang boses / tahimik,without making much noise,Adverb
opot,opot,-,-,-,fault,kasalanan,the fault of a person; responsibility for wrongdoing,Noun
opwat,opwat,-,-,-,remove,tanggalin,to take something from fire;to remove a cooking pot from fire,Verb
opya,opya,-,-,-,quiet,tahimik,to be quiet; silent,Verb
opyaan,opya,-,-,-an,silent (person),tahimik,(of a person) not speaking,Adjectives
ospital,ospital,-,-,-,hospitalize,magpaospital,to take someone to a hospital; to hospitalize,Verb
ot,ot,-,-,-,and,"at, at saka","A conjunction that marks a second event that is sequential in time to a previous one, similar to ""and then"" or ""and so.""",Conjunction
ot ahi,ot ahi,-,-,-,and then,at pagkatapos,A phrase used to connect a sequence of events where the second action is a direct result or is dependent on the first.,Conjunction
ot bo,ot bo,-,-,-,it is also,ito rin,Indicates addition or inclusion,Pronoun
ot dan,ot dan,-,-,-,it is them,ito ay sila,Refers to a group of people or things,Pronoun
ot wahna,ot wahna,-,-,-,it is there,ito ay naroroon,Refers to something located somewhere,Pronoun
ot-ok,ot-ok,-,-,-,harp,alpa,to harp on the same thing; to talk about someone or something continually,Verb
ota,ota,-,-,-,unhusked rice grains,butil na hindi nilagyan ng balat,unhusked rice grains mixed with,Noun
otak,otak,-,-,-,bolo,itak,A cutting tool,Noun
otan,otan,-,-,-,move,gumalaw,to move the location of something,Verb
otbol,otbol,-,-,-,seep,tumagos,to have water seeping out of the ground,Verb
otlab,otlab,-,-,-,vomit,suka,infant vomit when burped,Noun
oton,oton,-,-,-,place,lugar,to place something on top of another thing,Verb
otong,otong,-,-,-,mature,mature,to be a mature person,Verb
otyob,otyob,-,-,-,overgrown,tinutubuan,over-grown vegetation along paths,Verb
owoh,owoh,-,-,-,suck,sipsipin,"to suck the juice of plants, e",Verb
oya,oya,-,-,-,Isn’t it so? right? don’t you?,diba,a tag question form to evoke a confirmation of a statement,Pronoun
oyob,oyob,-,-,-,bend,yumuko,to bend something in a certain direction,Verb
pa-at,at,pa-,-,-,imitate,gayahin,to copy an action; to imitate; to mimic speech,Verb
pa-i,pa-i,-,-,-,destroy,sirain,to destroy,Verb
paad,paad,-,-,-,send,ipadala,to send message verbally to another through someone,Verb
paagba,agba,-,-,-,to ritualize,magriritwal,to perform the a ritual,Verb
paal,paal,-,-,-,cover,takip,to place ashes over embers in order to extinguish them,Verb
paanhanon,anhan,pa-,-,-on-,prioritize,unahin,to prioritize; to make something the most important or most valuable,Verb
paapupu,apupu,pa-,-,-,to be carried by,dadalhin ng,Action of having something carried by someone,Verb
pab-owon,pabowon,-,-,-,be cooled,palamigin,an extended meaning of cool -- to cool off when angry,Verb
pabor,pabor,-,-,-,favor,pabor,to be partial to someone; to favor; a verbal agreement may be made with the person being favored,Verb
paburitu,paburitu,-,-,-,favorite,paborito,preferred before all others of the same kind,Adjectives
padang,padang,-,-,-,wear,magsuot,to wear ankle bracelet,Verb
padas,padas,-,-,-,attempt,pagtangka,to try or attempt to do an action or activity,Verb
paddapadda,paddapadda,-,-,-,point,punto,to use a broken stick as a pointer to locate a lost thing during a ritual,Verb
paddi,paddi,-,-,-,coincident,nagkataon,for two actions or events to occur at the same time; coincidentally,Verb
paddung,paddung,-,-,-,imitate,gayahin,to imitate an action,Verb
padi,padi,-,-,-,priest,pari,usually refers to Catholic priests or clergy of any denomination,Noun
padlak,padlak,-,-,-,lock,kandado,to lock with a padlock,Verb
padngol,ngol,pad-,-,-,insult,insulto,to say something which is contemptuous or scornful; to insult; to make an allusion whether negative or positive; to insinuate,Verb
pae,pae,-,-,-,free,libre,"to free something; set loose; release, may be used of release from jail",Verb
paga,paga,-,-,-,beat,matalo,to beat with a stick,Verb
pagan-anu,anu,pagan-,-,-,worry,mag-alala,to be concerned or worried,Verb
pagana,paga,-,-an-,-,clear,malinaw,"to be a clear liquid, e",Verb
pagang,pagang,-,-,-,seed porridge,buto ng sinigang,to make into seed porridge,Verb
page,page,-,-,-,rice,palay,the starchy seeds of cereal grass that are cooked and used for food,Noun
pagekpek,pagekpek,-,-,-,splash,tilamsik,the action and sound of water splashing,Verb
pagen,page,-,-,-n,rice,palay,"Rice, as a crop or grain",Noun
paggalat,paggalat,-,-,-,gather frns,magtipon ng mga frns,to gather edible ferns,Verb
paggung,paggung,-,-,-,knock off,magpatumba,to knock something off or away,Verb
paghing,paghing,-,-,-,spur,mag-udyok,for a chicken to use its spur,Verb
paghok,paghok,-,-,-,peg,ang peg,to place a peg or stake,Verb
pagik,pagik,-,-,-,splatter,tumalsik,to splash or splatter water or mud,Verb
pagit,pagit,-,-,-,pricked,tinusok,to have been pricked by a thorn,Verb
pago,pago,-,-,-,broad-chested,malawak ang dibdib,large-chested,Verb
pagpag,pagpag,-,-,-,slap,sampal,to beat on something with the palm of the hand,Verb
pah-on,pah on,-,-,-,carry,buhat,to carry something on the shoulder,Verb
pahang,pahang,-,-,-,bless,pagpalain,to ask for a blessing for someone,Verb
pahhiya,pahhiya,-,-,-,boast,magyabang,to be boastful; considered to be a bad thing to do in the culture,Verb
pahhunan,pahhunan,-,-,-,first,uunahin,"coming before all others in time, order, or importance",Adjectives
pahok,pahok,-,-,-,wedge-cut,wedge-cut,to cut stones with a wedge,Verb
pahpa,pahpa,-,-,-,rinse,banlawan,to remove taste or flavor or smell by repeated washing and squeezing; rinse repeatedly,Verb
pahul,pahul,-,-,-,spear,sibat,Weapon used.,Noun
pahw'al,pahw'al,-,-,-,too big to hold,masyadong malaki para hawakan,to be too big for the hand to hold,Verb
pahyal,pahyal,-,-,-,stroll,mamasyal,to take a walk without a specific destination or purpose; to stroll,Verb
Paimihon,imi,pa-,-,-hon,make you smile,pangitiin,wanting the other person to smile,Verb
pait,pait,-,-,-,Bitter,Mapait,bitter taste,Adjectives
pakada,pakada,-,-,-,ask permission,humingi ng pahintulot,to ask permission,Verb
pakat,pakat,-,-,-,strive,magsikap,to put forth effort; to try with all one's capability,Verb
pakawan,pakawan,-,-,-,ask forgiveness,humingi ng tawad,to ask forgiveness,Verb
pakawanon,pakawan,-,-,-on,to be forgiven,patawarin,to forgive someone,Verb
pakbu,pakbu,-,-,-,empty,walang laman,to empty the contents of a container by turning it upside down and letting the contents fall out in a pile,Verb
pakdal,pakdal,-,-,-,plank,tabla,plank used for crossing creeks or climbing trees,Noun
pakgawona,pakga,-,-wo-,-na,make him/her cry,paiyakin,Action of causing someone to cry,Verb
paki,paki,-,-,-,sour wine,maasim na alak,"for rice wine to become over-aged, rice wine that tastes sour or bitter; wine that has not been opened retains its original taste",Verb
paki-ki-ayan,ki-ay,paki-,-,-an,interact,nakikipag-ugnayan,to interact with others,Verb
pakid,pakid,-,-,-,hook stick,hook stick,to hook with a stick,Verb
pakko,pakko,-,-,-,spoon,kutsara,"metal or wooden spoon, originally made of coconut shell",Noun
paklet,paklet,-,-,-,splatter,tumalsik,to splatter liquid or semi-liquid,Verb
pakoma,pakoma,-,-,-,forgive,magpatawad,to forgive; for God to forgive someone,Verb
pakpak,pakpak,-,-,-,paste,idikit,to paste something on a surface; to attach,Verb
pakpakuk,pakpakuk,-,-,-,hen cackle,kakatawa ng manok,"cackling of a hen, especially",Verb
paktiw,paktiw,-,-,-,pepper,sili,small red and green variety of pepper,Noun
pakuk,pakuk,-,-,-,bump,mauntog,to bump head on something; to bump somthing held against another thing,Verb
pakupak,pakupak,-,-,-,bathe mud,paliguan ng putik,"to bathe in muddy or dirty pond, e",Verb
pakyaw,pakyaw,-,-,-,contract work,kontrata ng trabaho,to work on a contract basis,Verb
pal-it,pal-it,-,-,-,cook,magluto,to cook in a bamboo tube,Verb
pal-ok,pal-ok,-,-,-,give birth,manganak,"to give birth, for an animal, quadrupeds, to give birth to young",Verb
pala,pala,-,-,-,shovel,pala,A tool for digging,Noun
palaghik,laghik,pa-,-,-,splash,tilamsik,to splash a liquid on something,Verb
palakpak,pakpak,-,-al-,-,throw stick,magtapon ng stick,to throw something that sticks on body or clothes; this is done to tease or for fun,Verb
palang,palang,-,-,-,cut bolo,gupitin ang bolo,to cut by striking with the bolo-knife,Verb
palanggan,palang,-,-,-gan,basin,palanggana,to place in a basin,Verb
palasyut,palasyut,-,-,-,parachute,parasyut,to use a parachute,Verb
palat,palat,-,-,-,handle,hawakan,to place a handle on something,Verb
palattug,palattug,-,-,-,shoot,bumaril,to shoot with gun,Verb
palawer,palawer,-,-,-,bloom,namumulaklak,for flowers to bloom,Verb
palayd,palayd,-,-,-,march,martsa,to march in a parade,Verb
paldang,paldang,-,-,-,beside,sa tabi,beside; alongside,Verb
paldangon,paldangon,-,-,-,ritual,ritwal,to start performing the rituals for the uyauy prestige feast,Verb
palekpek,pekpek,-,-al-,-,throw,itapon,to throw s,Verb
palenha,palenha,-,-,-,iron,bakal,to iron clothes; to press with a flatiron,Verb
pali,pali,-,-,-,wrestle,makipagbuno,to wrestle someone or something to the ground; to pin in wrestling,Verb
paloh,paloh,-,-,-,mistreat,pagmamaltrato,to mistreat someone,Verb
palpu,palpu,-,-,-,begin,magsimula,to start to do something; to begin an activity,Verb
palti,palti,-,-,-,butcher,magkakatay ng karne,to butcher poultry or animals for food,Verb
paltik,paltik,-,-,-,marking string,pang-ukit ng marka,carpenter’s marking string,Noun
palu,palu,-,-,-,dismantle,lansagin,to dismantle; to take apart a building; disassemble,Verb
palubusan,lubus,pa-,-,-an,allow,payagan,to allow,Verb
paluk,paluk,-,-,-,irrigation,irigasyon,to build or maintain an irrigation system,Verb
palun,palun,-,-,-,lean,sandalan,to be leaning; for an upright structure to lean,Verb
palut,palut,-,-,-,mix,paghaluin,"to mix a liquid with powder like in baking, making dough; to mix water with powdered rice for making rice cakes",Verb
palyok,palyok,-,-,-,cauldron,kawali,a large metal or clay pot used for cooking over an open fire,Noun
pamaga,pamaga,-,-,-,careless,pabaya,to do something without caution; tactlessly done,Verb
pamdol,pamdol,-,-,-,entrust,ipagkatiwala,to entrust something to someone,Verb
pamga,pamga,-,-,-,tactless,walang taktika,to do without caution; tactlessly or carelessly done,Verb
pamhod,pamhod,-,-,-,love,pag-ibig,to feel a deep affection of something or someone,Verb
pamilya,pamilya,-,-,-,raise fmaily,itaas ang fmaily,to raise a family,Verb
pamogpogna,pogpog,pa-,-,-na,boundary,hangganan,Refers to a boundary or limit,Noun
pamukot,pamukot,-,-,-,catch birds,manghuli ng mga ibon,to catch birds by placing the sap of trees where they land,Verb
pamutingan,muting,pa-,-,-an,bamboo container for broken rice kernels,banga; sisidlan,bamboo container used for storing broken rice kernels,Noun
pana,pana,-,-,-,shoot arrows,bumaril ng mga arrow,to shoot with an arrow; to hit with an arrow,Verb
panat,panat,-,-,-,remove object,alisin ang bagay,to remove an object from site in direction of agent,Verb
panday,panday,-,-,-,forge,huwad,"to make iron tools, e",Verb
pang-o,pang-o,-,-,-,wear necklace,magsuot ng kwintas,to have someone wear a necklace,Verb
pang-unig,pang-unig,-,-,-,indoor,panloob,"situated, conducted, or used within a building or under a cover",Adjectives
pangaasim,pangaasim,-,-,-,to ask for mercy,humingi ng awa,Action of requesting mercy or pity,Verb
pangalan,ala,pang-,-,-n,name,pangalan,A person’s or thing’s name,Noun
pangalana,ala,pang-,-,-na,his/her/its name,kanyang pangalan,Possessive form indicating the name of someone,Noun
pangali,pangali,-,-,-,think,isipin,to think,Verb
pangali da,pangali da,-,-,-,their saying,kanilang sabi,Refers to what they say or their statement,Noun
panganan,panganan,-,-,-,food,pagkain,any substance that people or animals eat or drink to maintain life and growth,Noun
Pangayag,ayag,pang-,-,-,call / invite,tawagin,"to ask someone to come to an event, place, or gathering.",Verb
pangayan,pangayan,-,-,-,going,pagpunta / paglakad,Action of going or moving from one place to another,Verb
pangdal,pangdal,-,-,-,prop up,itayo,to shore up or prop something up; may be diagonal or horizontal positioning,Verb
pangel,pangel,-,-,-,misaligned,hindi pagkakatugma,does not fit properly; unaligned,Verb
panggep,panggep,-,-,-,about,tungkol sa,with reference to; about; concerning something; with regard to,Prepositions
pangha,pangha,-,-,-,spoiled tuber,sira na tuber,describes a spoiled tuber that is hardened with an acrid odor,Verb
pangi,pangi,-,-,-,remove piece,alisin ang piraso,to remove a piece from a bunch or cluster,Verb
pangi-hayatan,hayat,pangi-,-,-an,harvesting,nagpapaani,the act of gathering mature crops from the field,Verb
pangibagan,baga,pangi-,-,-n,to tell,magsabi,Action of telling or narrating something,Verb
pangibatawela’,batawel,pangi-,-,-a,to put a fire on,maglagay ng apoy,Action of lighting a fire or placing it,Verb
pangieyan,pangieyan,-,-,-,take place,magaganap,place where something or someone is taken,Verb
pangihapit,hapit,pangi-,-,-,to speak,magsalita,Action of speaking or saying something,Verb
pangihda’,ihda,pang-,-,-,to eat,kumain,Action of eating,Verb
panginomnomandah,nomnom,pangi-,-,-andah,to think of you,iniisip ka,Action of thinking about someone,Verb
pangipabangngadan,nbangad,pangi-,-,-n,to name,pangalanan,Action of giving a name,Verb
pangipapto’,bangad,pangi-,-,-to,to put on the head,isuot sa ulo,Action of placing something on the head,Verb
Pangipatigo,tigo,pangi-,-pa-,-,to show,upang ipakita,"to make something visible, present, or demonstrate it so others can see",Verb
pangisala,sala,pangi-,-,-,way of dancing / style,paraan ng sayaw,"a particular manner, method, or form of dancing that makes it distinct",Verb
pangit,pangit,-,-,-,ugly,pangit,unpleasant or repulsive in appearance,Adjectives
pangngel,pangngel,-,-,-,remove portion,alisin ang bahagi,to remove a portion,Verb
pangngelna,pangelna,pang-,-,-,uneven,hindi pantay,Something that is uneven or irregular in surface or shape,Adjectives
pangok,pangok,-,-,-,pestilence kill,pamatay ng salot,to be killed by pestilence,Verb
pangu,pangu,-,-,-,toothless,walang ngipin,to be toothless,Verb
pangulu,pangulu,-,-,-,first,una,refers to anything that is before another in sequence or importance; to be first.,Adjectives
panguluwan,pangulu,-,-nu-,-wan,to be a leader,mamuno,The action or role of leading; to serve as a leader,Verb
panio,panio,-,-,-,taboo,bawal,to treat as taboo,Verb
panot,panot,-,-,-,pierce,tumagos,to stick a sharp object into something; to pierce,Verb
pansinon,pansin,-,-,-on,notice,pansinin,to becomea ware of,Verb
pantalon,pantalon,-,-,-,wear pants,magsuot ng pantalon,to wear pants,Verb
panti,panti,-,-,-,wear panty,magsuot ng panty,to wear a panty,Verb
panto,panto,-,-,-,door frame,frame ng pinto,to make a door frame,Verb
panu,panu,-,-,-,gather,magtipon,to gather together; to collect together,Verb
panumang,humang,pa-,-nu-,-,to converse,makipag-usap,Action of talking or conversing with someone,Verb
panuyu,puyu,-,-nu-,-,blame,sisihin,to blame someone; to accuse someone of being at fault,Verb
panyuk,panyuk,-,-,-,pocket,bulsa,to pocket a handkerchief,Verb
paok,paok,-,-,-,hoarse,namamaos,to have a hoarse voice,Verb
paot,paot,-,-,-,carve,ukit,to carve wood,Verb
papa,papa,-,-,-,to carry on the back,buhatin sa likod,Action of carrying something on one’s back,Verb
papadung,padung,pa-,-,-,evenly,pantay,equally; smoothly,Adverb
papage,page,pa-,-,-,ric,palay,Refers to rice as a crop or commodity,Noun
papan,papan,-,-,-,use bullets,gumamit ng mga bala,to use bullets,Verb
papas,papas,-,-,-,diligent,masipag,to be diligent; to do something exhaustively,Verb
papayo,payo,pa-,-,-,ricefields,palayan,Refers to ricefields in general or as a location,Noun
paptok,paptok,-,-,-,manage,pamahalaan,to be in charge of something,Verb
papudilan,pudil,pa-,-,-an,mouthfeed,bibig,to place something in the mouth of a child,Verb
para,para,-,-,-,for,para,marks a purpose or intended goal,Prepositions
para,para,-,-,-,stop vehicle,huminto ang sasakyan,to stop a vehicle to ride or alight,Verb
para hi,para,-,-,-hi,for,para sa,marks a purpose or intended goal;,Prepositions
paris,paris,-,-,-,pair two,pares dalawa,to pair two things,Verb
pasada,pasada,-,-,-,ride public,sumakay sa publiko,to use a public vehicle to make trips; to travel on a public vehicle,Verb
pasahe,pasahe,-,-,-,pay fare,magbayad ng pamasahe,to pay fare,Verb
pasensiya,pasensya,-,-,-,patience,pasensiya,"he ability to endure difficult circumstances, delays, or suffering without becoming annoyed or anxious",Noun
pasensiya,pasensiya,-,-,-,excuse,palusot,to excuse someone or to tolerate someone's behavior; to forgive,Verb
paspas,paspas,-,-,-,fast,mabilis,moving or capable of moving at high speed,Adjectives
pastor,pastor,-,-,-,minister,ministro,to minister at a church; to be a pastor,Verb
pastu,pastu,-,-,-,graze,pastulan,to graze animals in pasture,Verb
pasyal,pasyal,-,-,-,walk,lakad,to take a walk; to go sightseeing; to visit someone,Verb
pasyar,pasyar,-,-,-,visit,bumisita,to go somewhere,Verb
pat-al,pat-al,-,-,-,brighness,ningning,"the light or brightness of sun, moon or artificial light",Verb
pat-al,pat-al,-,-,-,bright,maliwanag,giving out or reflecting a lot of light; shining,Adjectives
pat-u,pat-u,-,-,-,beat stick,matalo stick,to beat someone or something with a stick,Verb
patak,patak,-,-,-,nail,pako,metal nail for fastening,Noun
patanong,patanong,-,-,-,walking stick,tongkat,stick used for walking,Noun
patap-o,tap-o,pa-,-,-,upward,paitaas,"moving toward a higher place, position, level, or value",Adverb
patapat,tapat,pa-,-,-,roost,pugad,for a chicken to fly up and rest on something; to roost,Verb
patayon,pate,-,-,-yon,to be killed,mapatay,"to die from being killed, to be slain, put to death; literal: “to come into the state of death”",Verb
pate,pate,-,-,-,kill,pumatay,to cause the death of someone,Verb
Pati,pati,-,-,-,even/also,pati,"indicates inclusion of something additional, often emphasizing that it applies to all or unexpected cases.",Conjunction
pating,pating,-,-,-,gather twigs,mangalap ng mga sanga,to break off a twig with the hand; to gather twigs for firewood,Verb
patiyon,patiyon,-,-,-,to believe,maniwala,to accept something as true or real,Verb
patna,patna,-,-,-,attempt,pagtatangka,to try or attempt to do an action or activity,Verb
patpat,patpat,-,-,-,cut brush,gupitin ang brush,"to cut down brush, small plants and branches",Verb
pattik,pattik,-,-,-,thrown,itinapon,"to be thrown for a distance, e",Verb
pattit,pattit,-,-,-,lock,kandado,to lock a door or window with fastener,Verb
pattol,pattol,-,-,-,graze,pastulan,to graze; to pasture,Verb
pattuk,pattuk,-,-,-,stand higher,tumayo ng mas mataas,to stand up on something that is higher than the ground or floor,Verb
patul,patul,-,-,-,rule,tuntunin,to rule as a king,Verb
