Iloko,English
Ti kilogramo (kg) ket us-usaren a pantimbang iti nadadagsen a banag mangrugi ti (1kg),The kilogram (kg) is used to weigh heavy things starting from (1kg).
Ti gramo (g) ket us-usaren a pagtimbang iti nalalag-an a bambanag.,The gram (g) is used to weigh lighter things.
Ti 6 kg a mangga ket nadagdagsen ngem 1000g a saba.,The 6 kg of mango is heavier than 1000g of banana.
Ti 2 kg a tarong ket nalaglag-an ngem 3000g a paria.,The 2 kg of eggplant is lighter than 3000g of bitter melon.
Ti litro (L) ket usaren a pangrukod iti ad-adu a malaan nga likido.,The liter (L) is used to measure a larger amount of liquid.
Ti millilitro (mL) ket usaren a pangrukod iti basbassit ti malaan a likido.,The milliliter (mL) is used to measure a smaller amount of liquid.
5000 millilitro a container ket ad-adu ngem 4 litro a container,A 5000 milliliter container has more than a 4 liter container.
1 litro a mantika ket basbassit ngem 2000 millilitro a suka.,1 liter of cooking oil is less than 2000 milliliters of vinegar.
Iti maysa a metro (m) ket 100 a centimetro (cm),One meter (m) is 100 centimeters (cm)
Iti maysa a kilogramo (kg) ket 1000 a gramo (g),One kilogram (kg) is 1000 grams (g)
Iti maysa a litro (L) ket 1000 a millilitro (mL),One liter (L) is 1000 milliliters (mL)
Ti bulong a 10 cm ket at-atiiddog ngem 5 cm a krayola,A 10 cm leaf is longer than a 5 cm crayon
At-atiiddog ti 5 metro a tali ngem 4 metro a stick.,A 5 meter rope is longer than a 4 meter stick.
Nadag-dagsen ti 1kilo nga asukar ngem 500 g a bagas.,1 kilo of sugar is heavier than 500g of rice.
Ad-adu ti 1 litro a danum ngem 250 Ml.,1 liter of water is more than 250 Ml.
Pagkumparaen dagiti banag iti kahon.,Compare the things in the box.
Ania ti kaaduan kadagiti sumaganad?,Which is the most among the following?
Addaan naduma-duma a pangrukod a maaramat.,There are various measuring tools that can be used.
Itatta ubing ket adalenyo iti standard units of measurement.,"Now, child, you will study the standard units of measurement."
Tapno maamoan ti husto a rukod dagiti naduma-duma a bambanag.,In order to know the correct measurement of the different things.
Dagiti bambanag ket marukod babaen ti umno nga measuring tools ken unit of length.,Things are measured using the correct measuring tools and unit of length.
Ti metro(m) ket usaren a pangrukod iti atiddog a bambanag,The meter (m) is used to measure long things
Ti centimetro (cm) ket usaren a pangrukod iti ab-ababa a bambanag.,The centimeter (cm) is used to measure shorter things.
Ti 1 metro ket katumbas na ti 100 centimetro,1 meter is equivalent to 100 centimeters
Ti eraser a 7cm ket at-atiddog ngem iti pagtahar a 5 cm,An eraser that is 7cm is longer than a 5 cm chalk
Ti 6 cm a ballpen ket ab-ababa ngem iti 50 cm a lapis.,A 6 cm ballpen is shorter than a 50 cm pencil.
No ag estimate wenno mangpugto ti rukod iti bambanag masapul a saan nga umadayo ti karkulasyon iti husto a rukod dagitoy a bambanag.,"When you estimate or predict the measurement of a thing, the calculation must not be far from the correct measurement of these things."
Ibaga ti karkulasyon ngem alaen met laeng ti umno a rukodna.,State the calculation but also get its correct measurement.
kangato ti ruangan ti balay,height of the door of the house
kinapuskol iti maysa ream a coupon,thickness of one ream of coupon bond
Iit indidaw-aidaw saan a maliklikan iti makasalaw iti naduma duma a parikot.,"In our daily lives, we cannot avoid encountering different problems."
"Iti lubong iti Matematica, addaan iti makuna a word problem a masursuruam iti nadumaduma nga ubraen tapno masungbatam a husto dagitoy a word problem.","In the world of Mathematics, there is what we call a word problem that you will learn various steps to solve so you can answer these word problems correctly."
Lalaengem ubing tapno kalpasan daytoy a modiul nalakam laengen a masolbar dagitoy a word problem.,"Be skillful, child, so that after this module, you will find it easy to solve these word problems."
Adalen iti word problem no kasano a sulbaren,Study the word problem on how to solve it
130 cm ti katayag ni Yuan. Nataytayag ti 20 cm ni Billy.,Yuan's height is 130 cm. Billy is taller by 20 cm.
Mano nga cm ti katayag ni Billy?,How many cm is Billy's height?
"Kada agsulbartayo iti massaso a problema, kanayontayo nga laglagipen dagitoy","Whenever we solve a word problem, we must always remember these"
Ania ti saludsod iti massaso a problema?,What is the question in the word problem?
Daytoy ket no ania ti salsaludsoden iti nailed a massaso a problema.,This is what is being asked in the given word problem.
Kaadwan ket makita iti sungbat diay maudi a sarita.,Most of the time it can be found in the answer of the last sentence.
Ania dagiti nailanad a numero?,What are the given numbers?
Daytoy no ania dagiti nailanad a numero nga isolbar diay massaso a problema.,These are the given numbers to be used to solve the word problem.
Ania ti sarita a paglasinan,What are the word clues?
Ania ti pakalasinan no kasano iti pamay-an ti masasao a problema.,These are the indicators of the method for the word problem.
Ania ti usaren nga operasyon?,What operation is to be used?
Daytoy no ania ti rumberg nga usaren nga operasyon a panangsulbar ito masasao a problema.,This is what operation should be used to solve the word problem.
No kasano a solbaren tit masasao a problema.,How the word problem is solved.
Ania ti kompleto a sungbat.,What is the complete answer.
No ania tit husto a sungbat tit masasao a problema.,What the correct answer to the word problem is.
Nagna ni Noli tit 1m mapan diay balay da Lino ket nagna pay isuna tit 2m ti ipapanna ti pagadalanda.,Noli walked 1m to Lino's house and he walked another 2m to their school.
Mano amin a metro tit pinagna ni Noli?,How many total meters did Noli walk?
Ania ti saludsod tit masasao a problema?,What is the question in the word problem?
"Timmaray ni Ana tit 100m, ken timmaray met ti kambal na nga ni Ani tit 400m. ","Ana ran 100m, and her twin Ani also ran 400m. "
Mano amin ti tinaray da a dua?,How many did the two of them run in total?
"Gimmatang ni Berta iti 10cm a laso idi kalman, nagkurang isuna iti usaren a laso, gimmatang man isunan iti 20 cm a laso tattay bigat. ","Berta bought 10cm of ribbon yesterday, she lacked ribbon to use, she bought another 20 cm of ribbon this morning. "
Mano amin dagiti ginatang na a laso?,How many (cm) of ribbon did she buy in total?
Napadasamon kadi ubbing iti gimmatang diay palengke kadagiti prutas ken nat-nateng?,"Have you experienced, child, buying at the market fruits and vegetables?"
Ania kadi ti us-usaren dagiti aglaklako tapno maamaan no husto iti timbang dagiti gatangem?,What do the sellers use to know if the weight of what you are buying is correct?
"Wen husto, timbangan ti awag dagitoy nga us-usarenda.","Yes, correct, these things they use are called a weighing scale."
Daytoy a modiul ket tulungannaka a masuruan ti usar dagiti dua a klase iti timbangan.,This module will help you learn to use the two kinds of weighing scales.
Dagiti bambanag ket marukod babaen ti husto nga measuring tools ken measuring units ti kilogramo ken gramo.,Things are measured using the correct measuring tools and measuring units of kilogram and gram.
Kilogramo (kg) ket us-usaren a pantimbang iti nadadagsen a bambanag.,The Kilogram (kg) is used to weigh heavy things.
Gramo (g) ket us-usaren nga pagtimbang iti natalag-an a bambanag.,The Gram (g) is used to weigh light things.
Ti 6 kg a mangga ket nadagadassen ngem 1000g a saba.,The 6 kg of mango is heavier than 1000g of banana.
Ti 2 kg a tarong ket nalaglag-an ngem 3000g a paria.,The 2 kg of eggplant is lighter than 3000g of bitter melon.
No ag-estimate wenno mangpugto iti kinadagen wenno kinlag-an ti banbanag masapul a saan nga umadayo ti karkulasyon iti husto a dagsen wenno lag-an kadagitoy a bambanag.,"When you estimate or predict the heaviness or lightness of things, the calculation must not be far from the correct weight or lightness of these things."
Ibaga ti karkulasyon ngem alaen met laeng ti husto a dagsen/lag-anna.,State the calculation but also get its correct weight/lightness.
Nalpasen nga inadaltayo ti panagsolbar iti word problem karaman iti kaatiddog iti napalabas a modiul 4.,We have finished studying how to solve word problems involving length in the past module 4.
Itatta ubbing adalenta met iti panagsolbar iti word problem karaman iti dagup (mass).,"Now, child, we will also study solving word problems involving mass."
Masursurom met iti husto nga usar iti pagrukod a ml (milliliters) ken L (liters).,You will also learn the correct use of the measuring tools ml (milliliters) and L (liters).
Adda 840 a gramo (g) ti tsokolate ni Lita.,Lita has 840 grams (g) of chocolate.
Inlako na idiay karrubada iti 225 a gramo (g).,She sold 225 grams (g) of it to their neighbor.
Mano a gramo ti tsokolate ti iti nabati a saanna nalako?,How many grams of chocolate were left that she did not sell?
Daytoy ket no ania ti salsaludsoden iti naited a massaso a problema.,This is what is being asked in the given word problem.
Kaadwan ket makita iti sungbat diay maudi a sarita.,Most of the time it can be found in the answer of the last sentence.
Ammoyo kadi ubbing nga addaan iti dua nga mabalin nga usaren tapno madam iti umno a dagup.,"Do you know, child, that there are two that can be used to know the correct mass?"
Dagitoy ket diay milliliter wenno ml ken liter wenno L.,These are the milliliter or ml and liter or L.
Usaren ti milliliter ken liter no agrukod kadagiti likido (liquid).,Use milliliter and liter when measuring liquids.
Iti 1L ket kapada iti 1000 ml.,1L is equal to 1000 ml.
Nagburas ni Tata Anton iti 453 kilogramo a kainrito ket inlako na ti 97 kilogramo idlay tiendaan.,Tata Anton harvested 453 kilograms of star apple and sold 97 kilograms at the market.
Mano a kilogramo a kainrito ti nabati?,How many kilograms of star apple were left?
Nakaurnong ni Ruben iti 225g a daan a papel. Nakaurnong met ni Annie iti 275g a daan a papel.,Ruben collected 225g of old paper. Annie also collected 275g of old paper.
Mano ti nagdumaanda wenno differenceda a dua?,What is their difference or the difference between the two?
Daytoy a modiul ket inka maadal ti area babaen iti panagbilang kadagiti babassit a kuadrado iti uneg iti pigura.,"In this module, you will learn about area by counting the small squares inside a figure."
Adu dagiti banag a mabalin a maala ti pakabuklan na.,There are many things whose area can be found.
Mabalin a ti sukog na ket kuadrado wenno rektanggulo.,Their shape may be a square or a rectangle.
"Agsaganakan, Ialaingem tapno nalakam a matarusan ti adalen.",Let's begin. Be diligent so you can easily understand the lesson.
"Tapno maalam ti husto a pakabuklan iti maysa a pigura/sukog, masapul a bilangem dagiti nausar a kuadrado iti uneg iti pigura.","To know the correct area of a figure/shape, you must count the squares used inside the figure."
Mabalin met a babaen iti panagmultiply iti kinaatiddog ken kinaakaba iti pigura wenno iti tunggal igid.,It can also be done by multiplying the length and the width of the figure or each side by side.
Ti picture frame ket addaan kaatiddog na a 4 square units ken 6 square units a kaakabana.,The picture frame has a length of 4 square units and a width of 6 square units.
Ania ti areana tit picture frame?,What is the area of the picture frame?
Daytoy ket no ania ti salsaludsoden tit naited a massaso a problema.,This is what is being asked in the given word problem.
Kaadwan ket makita tit sungbat diay maudi a sarita.,Most of the time it can be found in the answer of the last sentence.
"Tapno maalam ti husto a pakabuklan iii maysa a pigura/sukog, masapul a bilangem dagiti nausar a kuadrado iii uneg iii pigura.","To know the correct area of a figure/shape, you must count the squares used inside the figure."
Mabalin met a babaen iii panagmultiply iii kinaatiddog ken kinaakaba iii pigura wenno ili tunggal igid.,It can also be done by multiplying the length and the width of the figure or each side by side.
Ti rektanggulo a swimming pool ket ada 10 square units a kaatiadogna ken ada met 3 square units a kaakabana.,The rectangular swimming pool has a length of 10 square units and a width of 3 square units.
Biruken ti area it swimming pool.,Find the area of the swimming pool.
Ti kuartom ket adda 4 square units a kaatiddogna ken adda met 3 square units a kaakabana.,Your room has a length of 4 square units and a width of 3 square units.
Ania ti Areana ti kuartom?,What is the Area of your room?
Ti ules ket 6 square units iti kaatiddogna ken 4 square units iti kaakabana.,The blanket is 6 square units in length and 4 square units in width.
Ania ti Area iti ules?,What is the Area of the blanket?
Biruken ti Area iti lamisaan nga adda kaatiddogna a 12 square units ken kaakabana a 3 square units.,Find the Area of the table that has a length of 12 square units and a width of 3 square units.
Ti libro ket adda 7square units a kaatiddogna ken 5 square units ti kaakabana.,The book has a length of 7 square units and a width of 5 square units.
Ania ti Area iti libro?,What is the Area of the book?
Gimmatang ni inang Lisa iti TV nga adda 8 square units a kaatiddogna ken 6 square units iti kaakabana.,Mother Lisa bought a TV that has a length of 8 square units and a width of 6 square units.
Ania ti Area iti tv?,What is the Area of the tv?
Addaan naduma-duma a ladawan iti makitatayo iti aglawlaw.,There are various pictures we see in our surroundings.
Addaan met iti kayatna saoen dagiti dadduma a ladawan aglalo no usaren daytoy a mangpakita iti data.,"Some pictures also have meanings, especially if they are used to show data."
Itatta adalenta iti ag-interpret kadagiti data a makita iti pictograph.,Now we will study interpreting the data seen in a pictograph.
Matmatan ken adalah a nasayaat dagiti sumaganad.,Look at and study the following well.
Ti pictograph ket maysa klase a graph.,A pictograph is a type of graph.
Usaren dagiti graph tapno nabiolit nga adalen ken tarusan dagiti datos.,Graphs are used to easily study and understand data.
"Adda iti naduma-duma a graph nga us-usaren, ada iti bar graph, pie graph, line graph ken pictograph.","There are various graphs used, there is bar graph, pie graph, line graph and pictograph."
"Ngem itatta iti adalenta ket diay maaw-awagan a pictograph, daytoy ket iti graph nga addaan iti naduma-duma a ladawan nga us-usaren tapno maipakita wenno maiparang dagiti bilang dagiti naduma-duma a datos.","But what we will study now is what is called a pictograph, this is the graph that uses various pictures to show or present the count of different data."
Usaren iti graph a panagbilang ken iti panappaado wenno multiplication.,The graph uses counting and multiplying or multiplication.
Bilang Dagiti Ubbing a Nagpalista,Number of Children Who Enrolled
Ania ti paulo iti pictograph?,What is the title of the pictograph?
Kitaen ti pictograph ania kaaduan iti nailadawan nga ubbing,Look at the pictograph which has the most pictures of children
Kitaen ti pictograph ania kabassitan iti nailadawan nga ubbing,Look at the pictograph which has the fewest pictures of children
Ti pictograph ket maysa a graph a mangiladladawan iti datos a mangikumpara ken mangipakita iti impormasion.,"The pictograph is a graph that illustrates data, compares and shows information."
"Nalaklaka di met ti panagsungbat dagiti saludsod babaen iti panagusar dagiti ladawan, babaen iti pictograph.","Answering the questions is also easier by using pictures, through the pictograph."
"Nalaing ubing, naaramidmon iti umuna a pannubok. ","Good job child, you have done the first activity. "
Intan lawlawagen no ania iti pictograph.,Let's now discuss what a pictograph is.
Ti pamiliada Analisa ket aglaklakoda iti kamatis idiary tiendaan.,Analisa's family sells tomatoes at the market.
Ti pictograph ket ipakpakitana iti bilang iti kamatis a nalakoda iti uppat nga aldaw.,The pictograph shows the number of tomatoes they sold in four days.
Adalen ti graph tapno masungbatan dagiti saludsod.,Study the graph to answer the questions.
Bilang Ti Kamatis A Nalakoda Iti Uppat Nga Aldaw,Number of Tomatoes Sold in Four Days
Mano nga aldaw a naglako ti pamiliada Analisa?,How many days did Analisa's family sell?
Mano ti nalakoda a kamatis ti maikatlo nga adaw?,How many tomatoes did they sell on the third day?
Ania nga aldaw ti kabassitan ti nalakoda a kamatis?,On which day were the fewest tomatoes sold?
Ania nga aldaw ti kakaaduan ti nalakoda?,On which day were the most sold?
Mano ti nalakoda nga kamatis iti maikapat nga aldaw?,How many tomatoes were sold on the fourth day?
Kayat iti makinbagi nga agaramid iti graph tapno maipakitana iti nalakona a botas ti maysa a lawas.,The owner wants to make a graph to show the boots he sold in one week.
Tulungan isuna nga agaramid iti pictograph babaeh kadagiti sumaganad nga impormasion.,Help him make a pictograph based on the following information.
Bilang lii Bota a Nalako lii Maysa a Tiendaan ti Sapatos,Number of Boots Sold in a Shoe Store
Bilang Ti Ubbing a Nagpalista ti Paay-ayam,Number of Children Who Registered for the Game
1Mano ti ubbing a nagpalista iti maikatlo nga aldaw?,How many children registered on the third day?
Ania nga aldaw ti kaaduan iti nagpalista nga ubing?,On which day did the most children register?
Ania nga aldaw ti kabassitan iti nagpalista nga ubing?,On which day did the fewest children register?
Ania dagiti aldaw nga adaan agpapada a bilang kadagiti nagpalista nga ubbing?,Which days have an equal number of child registrants?
Mano ti bilang dagiti ubbing a nagpalista iti aldaw ti Biernes?,What is the number of children who registered on Friday?
Mano ti ubbing a nagpalista iti maikadua nga aldaw?,How many children registered on the second day?
Ania ti paulo tit pictograph?,What is the title of the pictograph?
Bilang ti Tao a Mangayat ti Nadumaduma a Raman ti Cake,Number of People Who Like Different Cake Flavors
"No pagkomparaem ti kaadu ti tao a mangayat iti vanilla ngem iti strawberry a raman iti cake, mano ti differencena?","If you compare the number of people who like vanilla flavor to strawberry flavor of cake, what is their difference?"
Mano amin a tao ti mangayat iti Red Velvet ken chocolate?,How many people in total like Red Velvet and chocolate?
"No pogkomparcem ti kaadu iti tao a mangayat iti Vanilla ngem iti Red Velvet a raman iti cake, mano ti differencena?","If you compare the number of people who like Vanilla flavor to Red Velvet flavor of cake, what is their difference?"
"No pogkomparcem ti kaadu iti tao a mangayat iti Red Velvet ngem iti chocolate a raman iti cake, mano ti differencena?","If you compare the number of people who like Red Velvet flavor to chocolate flavor of cake, what is their difference?"
Mano amin a tao ti nagraman iti nadumaduma a klase iti cake?,How many people in total were involved with the different types of cake?
Mano ti bilang kadagiti tattoo a mangayat iti Vanilla?,What is the number of people who like Vanilla?
Mano ti bilang kadagiti tattoo a mangayat iti Chocolate?,What is the number of people who like Chocolate?
Mano ti bilang kadagiti tattoo a mangayat iti Strawberry?,What is the number of people who like Strawberry?
Mano ti bilang kadagiti tattoo a mangayat iti Red Velvet?,What is the number of people who like Red Velvet?
Ania ti titulo iti pictograph?,What is the title of the pictograph?
Daytoy a modyul ket nazramid tapno maipalawag nu kasatno iti panagkissay ti 2 ken 3 nga digit nga haan nga maregroup.,This module was made to explain how to subtract 2 and 3 digits without regrouping.
Maipalawag met ditoy dagiti pamay-an ken pagannurotan nu kasatno iti panagkissay.,The methods and instructions on how to subtract will also be explained here.
Addaan daytoy iti aramiden tapno maikkan kayo iti gundaway nga mangkita kadagiti banbanag a pagkapuyan iti daytoy nga leksion.,This has activities to give you the opportunity to see the key points of this lesson.
Adda met dagiti palawag ken pagannurotan a nailanad tapno matulungan naka nu kasatno nga masungbatan dagiti nagaluduma nga aramiden.,There are also explanations and instructions provided to help you on how to answer the different activities.
Kasatno nga alaen dagiti nagdumaan ti numero?,How do you find the difference of the numbers?
"Kada agkissay tayo, kanayon tayo a mangrugi iti place value nga saggaysa, sumaruno ti sagsangapulo ken sagsanggasut.","Whenever we subtract, we always start at the ones place value, next the tens, and then the hundreds."
"Nu agkissay tayo idlay saggaysa, ti number sentence tayo ket agbalin nga 7 – 4 = 3.","When we subtract in the ones place, our number sentence becomes 7 – 4 = 3."
Isaruno tayo met iti sagsangapulo nga 9 – 7 = 2.,"We follow next with the tens, 9 – 7 = 2."
"Kalpasan iti sagsangapulo, isaruno iti sagsanggasut, Makita nga maymaysa a numero iti adda idlay sagsanggasut ket isu ti isurat idlay baba nga batog na.","After the tens, follow with the hundreds. You can see there is only one number in the hundreds, so that is what you write below its column."
Ti sungbat na a numero ket 223.,The answer number is 223.
Nagmula ni Mang Isko iti okra idi naawanan iti trabaho gapu iti pandemya.,Mang Isko planted okra when he lost his job due to the pandemic.
"Kalpasan iti dua nga bulan, nakaburas iti 989 nga okra.","After two months, he harvested 989 pieces of okra."
Inlako na iti 403 nga piraso. Manu ti nabati kanyana?,He sold 403 pieces. How many were left for him?
"Sakbay nga sungbatan iti saludsod, amiresen tayo pay dagiti nailanad nga problema iti pagsasao.","Before answering the question, let's also understand the given problem in the story."
Iyaramidan tayo iti number sentence sakbay nga isurat ti umno a sungbat.,Let's make a number sentence before writing the correct answer.
Iti panangala iti umno nga sungbat ket masapul iti panagkissay,"To get the correct answer, subtraction is needed."
"Unaen nga agkissay iti saggaysa, kas pagarigan, Ikissay ti 3 iti 9, iti sungbat na ket 3, isaruno ti sagsangapulo, 8 – 0, ti sungbat na ket 8. ","Start subtracting in the ones place, for example, Subtract 3 from 9, the answer is 3, next the tens, 8 – 0, the answer is 8. "
Ti umno nga sungbat ket 583.,The correct answer is 583.
"Sumaruno met ti sagsangagasut, 9 – 4 ket 5. ","Next, the hundreds, 9 – 4 is 5. "
Nacramid daytoy a modyul tapno maipalawag nu kasatno iti panagkissay ti 2 ken 3 nga digit nga mausar iti regrouping.,This module was made to explain how to subtract 2 and 3 digits that use regrouping.
Maiparang met ditoy dagiti pagarigan nga makatulong nu kasatno nga sungbatan dagiti saludsod.,Examples are also presented here that can help on how to answer the questions.
Kasatno nga alaen ti umno nga sungbat iti 42-27?,How do you get the correct answer for 42-27?
"Nu alaen dagiti nagdumaan iti numero, masapol nga mabingay dagitoy nga grupo iti sagaysa ken sagsangangulo tapno makatulong iti panagikkat.","If you find the difference of the numbers, these groups need to be divided into ones and tens to help in the subtraction."
Irugi iti panagikkat ti place value nga saggaysa.,Start the subtraction in the ones place value.
Haan nga mabalin nga mangikkat ka ti 7 manipud ti 2.,You cannot subtract 7 from 2.
Masapol tayo garud iti adadu nga saggaysa.,"Therefore, we need more ones."
Bumulod tayo idiary place value ti sagsangangulo ket mainayan iti saggaysa. Kalpasan a mainayan mabalinen nga mangikkat.,"We borrow from the tens place value and add it to the ones. After adding, you can now subtract."
"Kada agkissay tayo, kanayan tayo nga mangrugi iti place value nga saggaysa, sumaruno ti sagsangapulo, ken sagsangagasut.","Whenever we subtract, we always start at the ones place value, next the tens, and then the hundreds."
"Nu agkissay tayo idiary saggaysa, ti number sentence tayo ket agbalin nga 2 – 6 = haan nga mabalin, bumulod tayo iti sagsangapulo tapno agbalin nga 10 + 2 = 12 – 6 = 6.","When we subtract in the ones place, our number sentence becomes 2 – 6 = not possible, we borrow from the tens so it becomes 10 + 2 = 12 – 6 = 6."
Isaruno tayo met iti sagsangapulo nga nagbalinen nga 3 ta nabulod ni saggaysa diary sangapulo.,We follow next with the tens which became 3 because the ones borrowed from the tens.
Isaruno nga kissayan diary sagsangapulo. Iti number sentence na ket 3 – 3 = 0.,"Next, subtract in the tens place. Its number sentence is 3 – 3 = 0."
"Kalpasan iti sagsangapulo, isaruno iti sagsangagasut, 5 - 1 = 4. ","After the tens, follow with the hundreds, 5 - 1 = 4. "
Ti usto nga sungbat na a numero ket 542 – 136 =406.,The correct answer number is 542 – 136 =406.
Haan nga mabalin nga Ikkatam diay 2 ti 6.,You cannot subtract 6 from 2.
Bumulod ka ti sagsangapulo nga inayan idlay saggaysa. Mabawasan met diay Sagsangapulo,You borrow from the tens which is added to the ones. The Tens will also decrease.
Daytoy a modyul ket naaramid tapno maisuro kadakayo no kasatno iti panagkissay nga usaren iti panunot.,This module was made to teach you how to subtract using only the mind.
Surwannaka nga agkissay iti napardas nga ti usar ket panunot laeng.,It will teach you to subtract quickly using only mental calculation.
Intayo rugyanan daytoy nga modyul iti panangsungbat kadagiti sumaganad nga ARAMIDEN tapno maamuan ken makita no ania dagiti pagkapuyan ken dagiti maadalan nga leksiyon.,Let's start this module by answering the following ACTIVITIES to know and see what the key points and the lessons to be learned are.
Kasatno na iti agkissay nga ti panunot laeng iti mausar?,How do you subtract using only mental calculation?
Adda iti umong ni Roy nga Php 964.00 idlay balonna nga itited ni nanangna.,Roy has savings of Php 964.00 in his piggy bank given by his mother.
Gimmatang isuna ti papel ken lapisna nga aggatad iti Php 43.00. Mano pay ti nabati a kuarta ni Roy?,He bought his paper and pencil costing Php 43.00. How much money is left for Roy?
Mano pay ti nabati a kuarta ni Roy?,How much money is left for Roy?
Php 921.00 pay ti nabati a kuarta ni Roy.,Php 921.00 is the money left for Roy.
"Nu agkissay ti sagsangapulo ken saggaysa manipud ti 3-digit a bilang, ikissay nga ummuna ti saggaysa, sumaruno ti sagsangapulo.","When subtracting tens and ones from a 3-digit number, subtract the ones first, then the tens."
Panagusar iti Subraction Facts iti panagkissay,Using Subtraction Facts in subtracting
Panagusar iti Place Value iti panagkissay,Using Place Value in subtracting
Marisan/koloran ti duyaw iti umno a sungbat a nakakabii iti kahon.,Mark/color yellow the correct answer found in the box.
Isurat dagiti sungbat iti baba a paset ti table,Write the answers in the lower part of the table.
Isurat idiary uneg ti ladawan ti sungbat iti saludsod.,Write inside the picture the answer to the question.
Gimmatang ni Lino ti 125 nga sabon nga inwaras na kadagiti Frontliners ti barangay nga masaksakupanna.,Lino bought 125 soaps which he distributed to the Frontliners of the barangay under his coverage.
Nabati met ti 12 para kadagiti pamilyana.,12 were left for his family.
Mano amin iti naiwaras nga sabon idiary barangay?,How many soaps were distributed in the barangay in total?
Adalen a naimbag dagiti numero a nakasurat kadagiti dua a timbukel.,Look carefully at the numbers written in the two circles.
Ikkisay ti numero nga adda iti maikadua a timbukel iti akintennga nga numero.,Subtract the number in the second circle from the middle number.
Isurat ti sungbat iti blangko nga kahon.,Write the answer in the blank box.
Isurat ti umno a numero ti rabaw ti uged iti las-ud ti dua a minuto.,Write the correct number on top of the box within two minutes.
Babaen ti panunot. Kompletuen dagiti sumaganad a table iti las-ud ti maysa a minuto.,Using mental calculation. Complete the following table within one minute.
Manu ti mabati ti 654 nu makissayan ti 43?,How much is left of 654 if you subtract 43?
Nu ti 781 ket makissayan ti 60? Manu mabati?,If 781 is subtracted by 60? How much is left?
Nu adda iti 337 nga bayabas ket nakissayan iti 223?,If there are 337 guavas and 223 were subtracted?
"Adda iti 781 nga calamansi ni Rey, inlako na iti 580. ","Rey has 781 calamansi, he sold 580. "
"Nu ti 130 kissayan ti 122, ania ti sungbat mo?","If 130 is subtracted by 122, what is your answer?"
"Nu ti 75 ket kissayan ti 50, Manu iti mabati?","If 75 is subtracted by 50, How many are left?"
"Nu mangkissay iti 37 idiay 78, adda manu nga mabati?","If you subtract 37 from 78, how many are left?"
Panagsolbar ti Routine ken Non-Routine Word Problem,Solving Routine and Non-Routine Word Problems
Daytoy a modyul ket panagep ti panagsolbar ti routine ken non-routine word problem.,This module is about solving routine and non-routine word problems.
Makuna a routine problem no masungbatan a dagus daytoy a problema.,It is called a routine problem if this problem can be answered immediately.
Non-routine problem met no masapul nga usaren iti naun uneg pay a panagpanunot tapno mabirukan iti husto ang sungbat.,It is a non-routine problem if it requires deeper thinking to find the correct answer.
Naaramid daytoy nga modyul tapno maisuro kadakayon no kasatno iti panagsolbar iti massaso a problema ken dagiti suruten nga addang na.,This module was made to teach you how to solve a word problem and the steps to follow.
Daytoy ket no ania ti salsaludsoden iti naited a word problem.,This is what is being asked in the given word problem.
Kaadwan ket makita iti sungbat na idiay maudi nga sarita.,Most of the time it can be found in the answer of the last sentence.
Adalen dagiti sumaganaa nga word problem ken dagiti umno nga sungbat na.,Study the following word problems and their correct answers.
Gimmatang ti 658 nga face shield ni Jericho.,Jericho bought 658 face shields.
Inted na ti 525 idiay eskwelaan nga pagisursurwan ni inana.,He gave 525 to the school where his mother teaches.
Mano pay ti nabati kaniana nga face shield?,How many face shields were left for him?
Sinno ti gimmatang ti face shield?,Who bought the face shield?
Mano ti gimatang na nga face shield?,How many face shields did he buy?
Pangitedan na dagitiary nga face shield?,Where did he give the face shields?
Idiay eskwelaan nga pagisursurwan ni inanna.,At the school where his mother teaches.
"Adda ti 852 tattao a nagsakit iti sakit ti covid19. 570 nga tattao iti naimbaganen, mano pay nga tattao iti gapapaimbag?","There were 852 people who got sick with covid19. 570 people have recovered, how many people are still recovering?"
Ania ti salsaludsoden ti word problem?,What is the word problem asking?
Mano pay nga tattao iti gapapaimbag,How many people are still recovering
Adda tit naumong ni Jojo nga Php 895.00.,Jojo has savings of Php 895.00.
"Gapo ta kayat na makatulong idiay naapektaran ti bagyo nga Ulysses, gimmatang iti de lata nga agbalor iti Php 530.00.","Because he wants to help those affected by Typhoon Ulysses, he bought canned goods worth Php 530.00."
Mano pay iti nabati nga kuarta ni Jojo?,How much money is left for Jojo?
Dagitov ti addang iti panagsolbar ti word problem:,These are the steps in solving a word problem:
Basden ken farusan nga nasayaat ti word problem.,Read and understand the word problem well.
Kitaen ti kaipapanan iti sungbat.,Check the meaning of the answer.
Napan nagpidot ti puraw nga bato ni Matet.,Matet went to pick white stones.
Nakapidot isuna ti 239 nga bato.,She was able to pick 239 stones.
"Natinnag iti 13, mano pay iti nabati a bato kaniana?","13 fell, how many stones were left for her?"
Sinno ti napan nagpidot iti bato?,Who went to pick stones?
Ania nga kolor iti bato nga napidot na?,What color of stone did she pick?
Adda 1150 nga karton ti mineral water nga gimatang iti barangay nga ired para dagidicy nabagyo ti Ulysses.,There are 1150 cartons of mineral water that the barangay bought to give to those affected by Typhoon Ulysses.
"550 nga karton iti inted da diay Cagayan, diay nabati iso inted da idlay Isabela.","They gave 550 cartons in Cagayan, the rest they gave in Isabela."
Mano nga karton iti nailed da diay Isabela?,How many cartons did they give in Isabela?
